pdb_file,score,weighted_avg,avg,standard_dev
sampled_3gfk_model_1,2454606.0,350658.0,946680.0,0.0
sampled_3gfk_model_10,2661493.3333333335,295721.4814814815,940800.0,0.0
sampled_3gfk_model_100,2841100.6060606064,258281.87327823695,940800.0,0.0
sampled_3gfk_model_101,2562286.9999999995,320285.87499999994,942760.0,0.0
sampled_3gfk_model_102,2559623.5000000005,319952.93750000006,941780.0,0.0
sampled_3gfk_model_103,2758443.7222222225,275844.3722222223,941780.0,0.0
sampled_3gfk_model_104,2916459.459595959,243038.28829966325,939820.0,0.0
sampled_3gfk_model_105,2554296.4999999995,319287.06249999994,939820.0,0.0
sampled_3gfk_model_106,2913418.3131313133,242784.85942760945,938840.0,0.0
sampled_3gfk_model_107,2661493.3333333335,295721.4814814815,940800.0,0.0
sampled_3gfk_model_108,2446983.0,349569.0,943740.0,0.0
sampled_3gfk_model_109,2658720.944444444,295413.4382716049,939820.0,0.0
sampled_3gfk_model_11,2655948.555555556,295105.3950617284,938840.0,0.0
sampled_3gfk_model_110,2916459.459595959,243038.28829966325,939820.0,0.0
sampled_3gfk_model_111,2916459.459595959,243038.28829966325,939820.0,0.0
sampled_3gfk_model_112,2655948.555555556,295105.3950617284,938840.0,0.0
sampled_3gfk_model_113,2446983.0,349569.0,943740.0,0.0
sampled_3gfk_model_114,2321767.0000000005,386961.16666666674,947660.0,0.0
sampled_3gfk_model_115,2667038.1111111105,296337.5679012345,942760.0,0.0
sampled_3gfk_model_116,2669810.5,296645.6111111111,943740.0,0.0
sampled_3gfk_model_117,2321767.0000000005,386961.16666666674,947660.0,0.0
sampled_3gfk_model_118,2446983.0,349569.0,943740.0,0.0
sampled_3gfk_model_119,2669810.5,296645.6111111111,943740.0,0.0
sampled_3gfk_model_12,2307361.0000000005,384560.16666666674,941780.0,0.0
sampled_3gfk_model_120,2835181.646464647,257743.78604224062,938840.0,0.0
sampled_3gfk_model_121,2758443.7222222225,275844.3722222223,941780.0,0.0
sampled_3gfk_model_122,2559623.5000000005,319952.93750000006,941780.0,0.0
sampled_3gfk_model_123,2559623.5000000005,319952.93750000006,941780.0,0.0
sampled_3gfk_model_124,2564950.5,320618.8125,943740.0,0.0
sampled_3gfk_model_125,2913418.3131313133,242784.85942760945,938840.0,0.0
