pdb_file,score,weighted_avg,avg,standard_dev
complex.0_0_37_corrected_H_0001,"(5179523.635714285, 647440.4544642856, 1905738.0, 0.0)"
complex.0_0_43_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_0_4_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_10_11_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_10_16_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_10_17_corrected_H_0001,"(4955691.557142857, 707955.9367346939, 1911286.0, 0.0)"
complex.0_10_37_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_10_3_corrected_H_0001,"(4367270.016666667, 873454.0033333333, 1912673.0, 0.0)"
complex.0_10_41_corrected_H_0001,"(4682650.7, 780441.7833333333, 1911286.0, 0.0)"
complex.0_10_48_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_11_1_corrected_H_0001,"(4944902.678571429, 706414.668367347, 1907125.0, 0.0)"
complex.0_11_20_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_12_13_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_12_18_corrected_H_0001,"(4944902.678571429, 706414.668367347, 1907125.0, 0.0)"
complex.0_12_19_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_12_20_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_12_21_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_12_28_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_13_14_corrected_H_0001,"(4944902.678571429, 706414.668367347, 1907125.0, 0.0)"
complex.0_13_21_corrected_H_0001,"(4941306.385714285, 705900.9122448979, 1905738.0, 0.0)"
complex.0_13_33_corrected_H_0001,"(4364103.033333333, 872820.6066666667, 1911286.0, 0.0)"
complex.0_13_37_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_13_49_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_13_7_corrected_H_0001,"(5183293.303571429, 647911.6629464286, 1907125.0, 0.0)"
complex.0_13_9_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_14_15_corrected_H_0001,"(5395196.081349207, 599466.231261023, 1907125.0, 0.0)"
complex.0_14_27_corrected_H_0001,"(4944902.678571429, 706414.668367347, 1907125.0, 0.0)"
complex.0_14_36_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_14_43_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_15_19_corrected_H_0001,"(5183293.303571429, 647911.6629464286, 1907125.0, 0.0)"
complex.0_15_27_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_15_29_corrected_H_0001,"(5379500.965476191, 597722.3294973546, 1901577.0, 0.0)"
complex.0_15_31_corrected_H_0001,"(5187062.971428571, 648382.8714285714, 1908512.0, 0.0)"
complex.0_15_3_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_16_20_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_16_24_corrected_H_0001,"(5179523.635714285, 647440.4544642856, 1905738.0, 0.0)"
complex.0_16_2_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_17_16_corrected_H_0001,"(5183293.303571429, 647911.6629464286, 1907125.0, 0.0)"
complex.0_17_18_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_17_26_corrected_H_0001,"(4955691.557142857, 707955.9367346939, 1911286.0, 0.0)"
complex.0_17_27_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_17_2_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_18_16_corrected_H_0001,"(4944902.678571429, 706414.668367347, 1907125.0, 0.0)"
complex.0_18_17_corrected_H_0001,"(5183293.303571429, 647911.6629464286, 1907125.0, 0.0)"
complex.0_1_11_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_1_28_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_1_41_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_1_8_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_2_11_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_2_19_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_2_21_corrected_H_0001,"(4679252.55, 779875.4249999999, 1909899.0, 0.0)"
complex.0_2_25_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_2_28_corrected_H_0001,"(4955691.557142857, 707955.9367346939, 1911286.0, 0.0)"
complex.0_2_8_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_3_0_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_3_17_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_3_21_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_3_41_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_3_45_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_3_49_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_4_11_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
complex.0_4_13_corrected_H_0001,"(4948498.971428571, 706928.4244897959, 1908512.0, 0.0)"
complex.0_4_22_corrected_H_0001,"(4952095.264285714, 707442.1806122449, 1909899.0, 0.0)"
