pdb_file,all_contacts
complex.0_0_39_corrected_H_0001_7bxh,202
complex.0_0_47_corrected_H_0001_7bxh,138
complex.0_0_48_corrected_H_0001_7bxh,191
complex.0_0_4_corrected_H_0001_7bxh,452
complex.0_10_0_corrected_H_0001_7bxh,436
complex.0_10_20_corrected_H_0001_7bxh,586
complex.0_10_38_corrected_H_0001_7bxh,601
complex.0_10_40_corrected_H_0001_7bxh,482
complex.0_10_41_corrected_H_0001_7bxh,564
complex.0_10_6_corrected_H_0001_7bxh,796
complex.0_11_0_corrected_H_0001_7bxh,587
complex.0_11_18_corrected_H_0001_7bxh,467
complex.0_11_23_corrected_H_0001_7bxh,693
complex.0_11_9_corrected_H_0001_7bxh,510
complex.0_12_26_corrected_H_0001_7bxh,663
complex.0_12_42_corrected_H_0001_7bxh,591
complex.0_12_46_corrected_H_0001_7bxh,708
complex.0_12_8_corrected_H_0001_7bxh,526
complex.0_13_1_corrected_H_0001_7bxh,614
complex.0_13_20_corrected_H_0001_7bxh,667
complex.0_13_22_corrected_H_0001_7bxh,603
complex.0_13_28_corrected_H_0001_7bxh,639
complex.0_13_36_corrected_H_0001_7bxh,572
complex.0_13_48_corrected_H_0001_7bxh,564
complex.0_13_8_corrected_H_0001_7bxh,596
complex.0_14_10_corrected_H_0001_7bxh,682
complex.0_14_13_corrected_H_0001_7bxh,564
complex.0_14_16_corrected_H_0001_7bxh,570
complex.0_14_25_corrected_H_0001_7bxh,546
complex.0_14_29_corrected_H_0001_7bxh,664
complex.0_14_45_corrected_H_0001_7bxh,585
complex.0_14_4_corrected_H_0001_7bxh,409
complex.0_14_7_corrected_H_0001_7bxh,587
complex.0_15_31_corrected_H_0001_7bxh,645
complex.0_15_42_corrected_H_0001_7bxh,483
complex.0_15_5_corrected_H_0001_7bxh,598
complex.0_16_0_corrected_H_0001_7bxh,595
complex.0_16_13_corrected_H_0001_7bxh,580
complex.0_16_16_corrected_H_0001_7bxh,642
complex.0_16_22_corrected_H_0001_7bxh,576
complex.0_16_28_corrected_H_0001_7bxh,684
complex.0_16_3_corrected_H_0001_7bxh,616
complex.0_17_37_corrected_H_0001_7bxh,623
complex.0_17_40_corrected_H_0001_7bxh,642
complex.0_17_41_corrected_H_0001_7bxh,617
complex.0_18_12_corrected_H_0001_7bxh,647
complex.0_18_4_corrected_H_0001_7bxh,617
complex.0_18_5_corrected_H_0001_7bxh,663
complex.0_1_17_corrected_H_0001_7bxh,363
complex.0_1_24_corrected_H_0001_7bxh,388
complex.0_1_29_corrected_H_0001_7bxh,151
complex.0_1_37_corrected_H_0001_7bxh,245
complex.0_1_40_corrected_H_0001_7bxh,224
complex.0_2_12_corrected_H_0001_7bxh,176
complex.0_2_16_corrected_H_0001_7bxh,389
complex.0_2_44_corrected_H_0001_7bxh,235
complex.0_2_6_corrected_H_0001_7bxh,258
complex.0_3_11_corrected_H_0001_7bxh,207
complex.0_3_13_corrected_H_0001_7bxh,266
complex.0_3_22_corrected_H_0001_7bxh,256
complex.0_3_23_corrected_H_0001_7bxh,353
complex.0_3_2_corrected_H_0001_7bxh,370
complex.0_3_5_corrected_H_0001_7bxh,442
complex.0_3_7_corrected_H_0001_7bxh,328
complex.0_4_19_corrected_H_0001_7bxh,376
complex.0_4_20_corrected_H_0001_7bxh,468
complex.0_4_32_corrected_H_0001_7bxh,270
complex.0_4_35_corrected_H_0001_7bxh,579
complex.0_4_37_corrected_H_0001_7bxh,411
complex.0_4_43_corrected_H_0001_7bxh,554
complex.0_4_46_corrected_H_0001_7bxh,393
complex.0_4_49_corrected_H_0001_7bxh,250
complex.0_5_0_corrected_H_0001_7bxh,340
complex.0_5_24_corrected_H_0001_7bxh,609
complex.0_5_26_corrected_H_0001_7bxh,498
complex.0_5_36_corrected_H_0001_7bxh,329
complex.0_5_38_corrected_H_0001_7bxh,470
complex.0_5_3_corrected_H_0001_7bxh,352
complex.0_6_1_corrected_H_0001_7bxh,560
complex.0_6_3_corrected_H_0001_7bxh,456
complex.0_6_44_corrected_H_0001_7bxh,565
complex.0_7_34_corrected_H_0001_7bxh,435
complex.0_7_37_corrected_H_0001_7bxh,495
complex.0_8_11_corrected_H_0001_7bxh,518
complex.0_8_37_corrected_H_0001_7bxh,499
complex.0_8_47_corrected_H_0001_7bxh,533
complex.0_8_4_corrected_H_0001_7bxh,359
complex.0_9_38_corrected_H_0001_7bxh,532
complex.0_9_47_corrected_H_0001_7bxh,753
complex.0_9_4_corrected_H_0001_7bxh,653
complex.0_9_8_corrected_H_0001_7bxh,505
complex.0_9_9_corrected_H_0001_7bxh,675
complex.1_0_11_corrected_H_0001_7bxh,190
complex.1_0_14_corrected_H_0001_7bxh,114
complex.1_0_22_corrected_H_0001_7bxh,332
complex.1_0_23_corrected_H_0001_7bxh,166
complex.1_0_25_corrected_H_0001_7bxh,211
complex.1_0_35_corrected_H_0001_7bxh,301
complex.1_0_45_corrected_H_0001_7bxh,291
complex.1_10_10_corrected_H_0001_7bxh,511
complex.1_10_11_corrected_H_0001_7bxh,388
complex.1_10_15_corrected_H_0001_7bxh,648
complex.1_10_22_corrected_H_0001_7bxh,434
complex.1_10_23_corrected_H_0001_7bxh,730
complex.1_10_29_corrected_H_0001_7bxh,366
complex.1_10_31_corrected_H_0001_7bxh,599
complex.1_11_15_corrected_H_0001_7bxh,530
complex.1_11_28_corrected_H_0001_7bxh,644
complex.1_11_34_corrected_H_0001_7bxh,593
complex.1_11_42_corrected_H_0001_7bxh,420
complex.1_12_12_corrected_H_0001_7bxh,685
complex.1_12_18_corrected_H_0001_7bxh,440
complex.1_12_40_corrected_H_0001_7bxh,562
complex.1_12_44_corrected_H_0001_7bxh,637
complex.1_12_48_corrected_H_0001_7bxh,580
complex.1_13_19_corrected_H_0001_7bxh,498
complex.1_13_21_corrected_H_0001_7bxh,567
complex.1_13_49_corrected_H_0001_7bxh,541
complex.1_13_9_corrected_H_0001_7bxh,699
complex.1_14_0_corrected_H_0001_7bxh,575
complex.1_14_15_corrected_H_0001_7bxh,576
complex.1_15_20_corrected_H_0001_7bxh,504
complex.1_15_29_corrected_H_0001_7bxh,595
complex.1_15_32_corrected_H_0001_7bxh,596
complex.1_15_36_corrected_H_0001_7bxh,688
complex.1_15_41_corrected_H_0001_7bxh,582
complex.1_16_17_corrected_H_0001_7bxh,561
complex.1_16_34_corrected_H_0001_7bxh,601
complex.1_16_40_corrected_H_0001_7bxh,641
complex.1_17_0_corrected_H_0001_7bxh,623
complex.1_17_12_corrected_H_0001_7bxh,616
complex.1_17_17_corrected_H_0001_7bxh,633
complex.1_17_28_corrected_H_0001_7bxh,644
complex.1_17_7_corrected_H_0001_7bxh,618
complex.1_18_0_corrected_H_0001_7bxh,662
complex.1_18_9_corrected_H_0001_7bxh,650
complex.1_1_14_corrected_H_0001_7bxh,351
complex.1_1_2_corrected_H_0001_7bxh,520
complex.1_1_30_corrected_H_0001_7bxh,268
complex.1_1_43_corrected_H_0001_7bxh,293
complex.1_1_46_corrected_H_0001_7bxh,251
complex.1_1_9_corrected_H_0001_7bxh,248
complex.1_2_15_corrected_H_0001_7bxh,215
complex.1_2_49_corrected_H_0001_7bxh,369
complex.1_2_8_corrected_H_0001_7bxh,190
complex.1_3_16_corrected_H_0001_7bxh,497
complex.1_3_20_corrected_H_0001_7bxh,280
complex.1_3_24_corrected_H_0001_7bxh,358
complex.1_3_49_corrected_H_0001_7bxh,273
complex.1_4_21_corrected_H_0001_7bxh,309
complex.1_4_33_corrected_H_0001_7bxh,400
complex.1_4_40_corrected_H_0001_7bxh,596
complex.1_5_14_corrected_H_0001_7bxh,501
complex.1_5_22_corrected_H_0001_7bxh,316
complex.1_5_35_corrected_H_0001_7bxh,352
complex.1_5_44_corrected_H_0001_7bxh,498
complex.1_5_8_corrected_H_0001_7bxh,299
complex.1_6_25_corrected_H_0001_7bxh,416
complex.1_6_34_corrected_H_0001_7bxh,307
complex.1_6_43_corrected_H_0001_7bxh,449
complex.1_6_49_corrected_H_0001_7bxh,454
complex.1_7_12_corrected_H_0001_7bxh,396
complex.1_7_25_corrected_H_0001_7bxh,631
complex.1_7_44_corrected_H_0001_7bxh,531
complex.1_7_48_corrected_H_0001_7bxh,529
complex.1_8_19_corrected_H_0001_7bxh,449
complex.1_8_22_corrected_H_0001_7bxh,699
complex.1_8_41_corrected_H_0001_7bxh,439
complex.1_8_42_corrected_H_0001_7bxh,722
complex.1_8_5_corrected_H_0001_7bxh,571
complex.1_9_14_corrected_H_0001_7bxh,487
complex.1_9_16_corrected_H_0001_7bxh,669
complex.1_9_19_corrected_H_0001_7bxh,586
complex.1_9_21_corrected_H_0001_7bxh,494
complex.1_9_29_corrected_H_0001_7bxh,635
complex.1_9_2_corrected_H_0001_7bxh,582
complex.1_9_30_corrected_H_0001_7bxh,559
complex.1_9_39_corrected_H_0001_7bxh,407
complex.1_9_48_corrected_H_0001_7bxh,633
complex.1_9_6_corrected_H_0001_7bxh,417
complex.2_0_12_corrected_H_0001_7bxh,208
