pdb_file,hydrophobicity_contacts
complex.0_0_19_corrected_H_0001_2fhz,4
complex.0_0_37_corrected_H_0001_2fhz,14
complex.0_0_38_corrected_H_0001_2fhz,7
complex.0_10_1_corrected_H_0001_2fhz,21
complex.0_10_21_corrected_H_0001_2fhz,23
complex.0_10_33_corrected_H_0001_2fhz,35
complex.0_10_36_corrected_H_0001_2fhz,26
complex.0_11_11_corrected_H_0001_2fhz,48
complex.0_11_47_corrected_H_0001_2fhz,46
complex.0_12_10_corrected_H_0001_2fhz,42
complex.0_12_12_corrected_H_0001_2fhz,45
complex.0_12_34_corrected_H_0001_2fhz,41
complex.0_12_42_corrected_H_0001_2fhz,38
complex.0_12_43_corrected_H_0001_2fhz,42
complex.0_12_8_corrected_H_0001_2fhz,42
complex.0_13_0_corrected_H_0001_2fhz,36
complex.0_13_10_corrected_H_0001_2fhz,45
complex.0_13_21_corrected_H_0001_2fhz,46
complex.0_13_39_corrected_H_0001_2fhz,38
complex.0_13_46_corrected_H_0001_2fhz,40
complex.0_14_11_corrected_H_0001_2fhz,48
complex.0_14_36_corrected_H_0001_2fhz,39
complex.0_14_42_corrected_H_0001_2fhz,52
complex.0_14_44_corrected_H_0001_2fhz,44
complex.0_15_13_corrected_H_0001_2fhz,44
complex.0_15_14_corrected_H_0001_2fhz,50
complex.0_15_29_corrected_H_0001_2fhz,47
complex.0_15_39_corrected_H_0001_2fhz,46
complex.0_15_44_corrected_H_0001_2fhz,48
complex.0_15_6_corrected_H_0001_2fhz,51
complex.0_16_0_corrected_H_0001_2fhz,51
complex.0_16_27_corrected_H_0001_2fhz,49
complex.0_16_33_corrected_H_0001_2fhz,53
complex.0_16_36_corrected_H_0001_2fhz,45
complex.0_16_41_corrected_H_0001_2fhz,49
complex.0_16_45_corrected_H_0001_2fhz,50
complex.0_16_5_corrected_H_0001_2fhz,54
complex.0_17_0_corrected_H_0001_2fhz,49
complex.0_17_2_corrected_H_0001_2fhz,51
complex.0_17_43_corrected_H_0001_2fhz,52
complex.0_17_47_corrected_H_0001_2fhz,51
complex.0_18_26_corrected_H_0001_2fhz,52
complex.0_18_30_corrected_H_0001_2fhz,51
complex.0_18_34_corrected_H_0001_2fhz,51
complex.0_19_2_corrected_H_0001_2fhz,50
complex.0_1_18_corrected_H_0001_2fhz,28
complex.0_1_31_corrected_H_0001_2fhz,16
complex.0_1_36_corrected_H_0001_2fhz,22
complex.0_1_44_corrected_H_0001_2fhz,11
complex.0_1_6_corrected_H_0001_2fhz,16
complex.0_1_8_corrected_H_0001_2fhz,14
complex.0_2_10_corrected_H_0001_2fhz,16
complex.0_2_11_corrected_H_0001_2fhz,14
complex.0_2_35_corrected_H_0001_2fhz,21
complex.0_2_47_corrected_H_0001_2fhz,18
complex.0_3_14_corrected_H_0001_2fhz,15
complex.0_3_23_corrected_H_0001_2fhz,9
complex.0_3_2_corrected_H_0001_2fhz,19
complex.0_3_39_corrected_H_0001_2fhz,12
complex.0_3_9_corrected_H_0001_2fhz,29
complex.0_4_0_corrected_H_0001_2fhz,16
complex.0_4_10_corrected_H_0001_2fhz,11
complex.0_4_39_corrected_H_0001_2fhz,22
complex.0_5_10_corrected_H_0001_2fhz,11
complex.0_5_14_corrected_H_0001_2fhz,14
complex.0_5_21_corrected_H_0001_2fhz,18
complex.0_5_24_corrected_H_0001_2fhz,24
complex.0_5_37_corrected_H_0001_2fhz,15
complex.0_5_42_corrected_H_0001_2fhz,19
complex.0_6_12_corrected_H_0001_2fhz,21
complex.0_6_2_corrected_H_0001_2fhz,19
complex.0_6_32_corrected_H_0001_2fhz,17
complex.0_6_42_corrected_H_0001_2fhz,20
complex.0_7_10_corrected_H_0001_2fhz,30
complex.0_7_13_corrected_H_0001_2fhz,24
complex.0_7_14_corrected_H_0001_2fhz,29
complex.0_7_20_corrected_H_0001_2fhz,19
complex.0_7_30_corrected_H_0001_2fhz,26
complex.0_7_31_corrected_H_0001_2fhz,19
complex.0_7_36_corrected_H_0001_2fhz,32
complex.0_8_0_corrected_H_0001_2fhz,28
complex.0_8_14_corrected_H_0001_2fhz,27
complex.0_8_17_corrected_H_0001_2fhz,36
complex.0_8_27_corrected_H_0001_2fhz,23
complex.0_8_28_corrected_H_0001_2fhz,26
complex.0_8_2_corrected_H_0001_2fhz,23
complex.0_8_40_corrected_H_0001_2fhz,33
complex.0_8_45_corrected_H_0001_2fhz,30
complex.0_8_5_corrected_H_0001_2fhz,30
complex.0_9_10_corrected_H_0001_2fhz,28
complex.0_9_11_corrected_H_0001_2fhz,26
complex.1_0_0_corrected_H_0001_2fhz,13
complex.1_0_12_corrected_H_0001_2fhz,9
complex.1_0_1_corrected_H_0001_2fhz,7
complex.1_0_26_corrected_H_0001_2fhz,14
complex.1_0_31_corrected_H_0001_2fhz,8
complex.1_0_48_corrected_H_0001_2fhz,6
complex.1_0_49_corrected_H_0001_2fhz,11
complex.1_0_4_corrected_H_0001_2fhz,9
complex.1_0_9_corrected_H_0001_2fhz,19
complex.1_10_15_corrected_H_0001_2fhz,28
complex.1_10_17_corrected_H_0001_2fhz,41
complex.1_10_19_corrected_H_0001_2fhz,34
complex.1_10_26_corrected_H_0001_2fhz,37
complex.1_10_38_corrected_H_0001_2fhz,27
complex.1_10_46_corrected_H_0001_2fhz,48
complex.1_11_16_corrected_H_0001_2fhz,40
complex.1_11_21_corrected_H_0001_2fhz,40
complex.1_11_2_corrected_H_0001_2fhz,37
complex.1_11_32_corrected_H_0001_2fhz,50
complex.1_11_35_corrected_H_0001_2fhz,31
complex.1_11_36_corrected_H_0001_2fhz,49
complex.1_11_6_corrected_H_0001_2fhz,26
complex.1_12_33_corrected_H_0001_2fhz,29
complex.1_12_9_corrected_H_0001_2fhz,40
complex.1_13_14_corrected_H_0001_2fhz,45
complex.1_13_1_corrected_H_0001_2fhz,48
complex.1_13_28_corrected_H_0001_2fhz,34
complex.1_13_33_corrected_H_0001_2fhz,45
complex.1_13_38_corrected_H_0001_2fhz,46
complex.1_13_47_corrected_H_0001_2fhz,43
complex.1_13_4_corrected_H_0001_2fhz,44
complex.1_14_16_corrected_H_0001_2fhz,50
complex.1_14_19_corrected_H_0001_2fhz,51
complex.1_14_29_corrected_H_0001_2fhz,48
complex.1_14_34_corrected_H_0001_2fhz,40
complex.1_14_41_corrected_H_0001_2fhz,48
complex.1_15_10_corrected_H_0001_2fhz,48
complex.1_15_2_corrected_H_0001_2fhz,52
complex.1_15_32_corrected_H_0001_2fhz,49
complex.1_15_48_corrected_H_0001_2fhz,48
complex.1_16_11_corrected_H_0001_2fhz,51
complex.1_16_20_corrected_H_0001_2fhz,48
complex.1_16_2_corrected_H_0001_2fhz,52
complex.1_16_32_corrected_H_0001_2fhz,50
complex.1_16_44_corrected_H_0001_2fhz,50
complex.1_16_48_corrected_H_0001_2fhz,52
complex.1_17_20_corrected_H_0001_2fhz,53
complex.1_17_30_corrected_H_0001_2fhz,52
complex.1_17_35_corrected_H_0001_2fhz,50
complex.1_17_4_corrected_H_0001_2fhz,50
complex.1_18_11_corrected_H_0001_2fhz,51
complex.1_18_14_corrected_H_0001_2fhz,55
complex.1_18_18_corrected_H_0001_2fhz,53
complex.1_18_23_corrected_H_0001_2fhz,55
complex.1_18_3_corrected_H_0001_2fhz,49
complex.1_1_11_corrected_H_0001_2fhz,19
complex.1_1_25_corrected_H_0001_2fhz,13
complex.1_1_7_corrected_H_0001_2fhz,11
complex.1_2_44_corrected_H_0001_2fhz,17
complex.1_2_48_corrected_H_0001_2fhz,14
complex.1_3_35_corrected_H_0001_2fhz,21
complex.1_3_43_corrected_H_0001_2fhz,14
complex.1_4_1_corrected_H_0001_2fhz,23
complex.1_4_24_corrected_H_0001_2fhz,26
complex.1_4_26_corrected_H_0001_2fhz,24
complex.1_4_42_corrected_H_0001_2fhz,19
complex.1_4_47_corrected_H_0001_2fhz,23
complex.1_4_9_corrected_H_0001_2fhz,23
complex.1_5_12_corrected_H_0001_2fhz,11
complex.1_5_15_corrected_H_0001_2fhz,19
complex.1_5_20_corrected_H_0001_2fhz,17
complex.1_5_30_corrected_H_0001_2fhz,31
complex.1_5_3_corrected_H_0001_2fhz,19
complex.1_5_5_corrected_H_0001_2fhz,26
complex.1_6_18_corrected_H_0001_2fhz,23
complex.1_6_20_corrected_H_0001_2fhz,23
complex.1_6_22_corrected_H_0001_2fhz,24
complex.1_6_27_corrected_H_0001_2fhz,16
complex.1_6_30_corrected_H_0001_2fhz,16
complex.1_6_34_corrected_H_0001_2fhz,29
complex.1_6_48_corrected_H_0001_2fhz,28
complex.1_6_49_corrected_H_0001_2fhz,27
