pdb_file,all_contacts
complex.0_0_24_corrected_H_0001_3fpn,212
complex.0_10_31_corrected_H_0001_3fpn,330
complex.0_10_3_corrected_H_0001_3fpn,161
complex.0_10_42_corrected_H_0001_3fpn,374
complex.0_11_20_corrected_H_0001_3fpn,298
complex.0_11_39_corrected_H_0001_3fpn,436
complex.0_11_49_corrected_H_0001_3fpn,392
complex.0_11_9_corrected_H_0001_3fpn,345
complex.0_12_27_corrected_H_0001_3fpn,440
complex.0_13_14_corrected_H_0001_3fpn,439
complex.0_13_16_corrected_H_0001_3fpn,455
complex.0_13_33_corrected_H_0001_3fpn,256
complex.0_13_7_corrected_H_0001_3fpn,378
complex.0_13_9_corrected_H_0001_3fpn,416
complex.0_14_1_corrected_H_0001_3fpn,440
complex.0_14_41_corrected_H_0001_3fpn,291
complex.0_14_44_corrected_H_0001_3fpn,512
complex.0_14_48_corrected_H_0001_3fpn,428
complex.0_15_4_corrected_H_0001_3fpn,326
complex.0_15_7_corrected_H_0001_3fpn,538
complex.0_16_11_corrected_H_0001_3fpn,299
complex.0_16_12_corrected_H_0001_3fpn,285
complex.0_16_13_corrected_H_0001_3fpn,284
complex.0_16_14_corrected_H_0001_3fpn,428
complex.0_16_35_corrected_H_0001_3fpn,295
complex.0_16_43_corrected_H_0001_3fpn,340
complex.0_16_47_corrected_H_0001_3fpn,552
complex.0_17_11_corrected_H_0001_3fpn,433
complex.0_17_29_corrected_H_0001_3fpn,470
complex.0_17_46_corrected_H_0001_3fpn,369
complex.0_18_14_corrected_H_0001_3fpn,489
complex.0_18_15_corrected_H_0001_3fpn,443
complex.0_18_26_corrected_H_0001_3fpn,535
complex.0_1_22_corrected_H_0001_3fpn,258
complex.0_1_40_corrected_H_0001_3fpn,298
complex.0_1_42_corrected_H_0001_3fpn,165
complex.0_2_14_corrected_H_0001_3fpn,224
complex.0_2_1_corrected_H_0001_3fpn,240
complex.0_2_25_corrected_H_0001_3fpn,211
complex.0_2_2_corrected_H_0001_3fpn,248
complex.0_2_34_corrected_H_0001_3fpn,148
complex.0_3_11_corrected_H_0001_3fpn,223
complex.0_3_32_corrected_H_0001_3fpn,155
complex.0_3_40_corrected_H_0001_3fpn,166
complex.0_3_46_corrected_H_0001_3fpn,216
complex.0_3_4_corrected_H_0001_3fpn,343
complex.0_3_5_corrected_H_0001_3fpn,242
complex.0_4_11_corrected_H_0001_3fpn,266
complex.0_4_17_corrected_H_0001_3fpn,288
complex.0_4_41_corrected_H_0001_3fpn,232
complex.0_4_42_corrected_H_0001_3fpn,312
complex.0_5_14_corrected_H_0001_3fpn,225
complex.0_5_42_corrected_H_0001_3fpn,294
complex.0_5_44_corrected_H_0001_3fpn,307
complex.0_6_30_corrected_H_0001_3fpn,213
complex.0_6_33_corrected_H_0001_3fpn,305
complex.0_6_42_corrected_H_0001_3fpn,258
complex.0_6_47_corrected_H_0001_3fpn,338
complex.0_7_0_corrected_H_0001_3fpn,285
complex.0_7_32_corrected_H_0001_3fpn,285
complex.0_7_9_corrected_H_0001_3fpn,212
complex.0_8_12_corrected_H_0001_3fpn,204
complex.0_8_35_corrected_H_0001_3fpn,251
complex.0_8_37_corrected_H_0001_3fpn,300
complex.0_8_40_corrected_H_0001_3fpn,220
complex.0_9_38_corrected_H_0001_3fpn,274
complex.0_9_3_corrected_H_0001_3fpn,268
complex.0_9_40_corrected_H_0001_3fpn,338
complex.0_9_43_corrected_H_0001_3fpn,266
complex.0_9_45_corrected_H_0001_3fpn,215
complex.0_9_8_corrected_H_0001_3fpn,241
complex.1_0_0_corrected_H_0001_3fpn,155
complex.1_0_11_corrected_H_0001_3fpn,155
complex.1_0_15_corrected_H_0001_3fpn,123
complex.1_0_25_corrected_H_0001_3fpn,266
complex.1_0_2_corrected_H_0001_3fpn,194
complex.1_0_36_corrected_H_0001_3fpn,119
complex.1_0_42_corrected_H_0001_3fpn,162
complex.1_10_20_corrected_H_0001_3fpn,286
complex.1_10_26_corrected_H_0001_3fpn,331
complex.1_10_2_corrected_H_0001_3fpn,323
complex.1_10_33_corrected_H_0001_3fpn,421
complex.1_10_36_corrected_H_0001_3fpn,520
complex.1_10_47_corrected_H_0001_3fpn,393
