pdb_file,hydrophobicity_contacts
relaxed_2hsm_model_1_corrected_H_0001_2hsm,12
relaxed_2hsm_model_10_corrected_H_0001_2hsm,10
relaxed_2hsm_model_100_corrected_H_0001_2hsm,22
relaxed_2hsm_model_101_corrected_H_0001_2hsm,17
relaxed_2hsm_model_102_corrected_H_0001_2hsm,14
relaxed_2hsm_model_103_corrected_H_0001_2hsm,20
relaxed_2hsm_model_104_corrected_H_0001_2hsm,20
relaxed_2hsm_model_105_corrected_H_0001_2hsm,20
relaxed_2hsm_model_106_corrected_H_0001_2hsm,12
relaxed_2hsm_model_107_corrected_H_0001_2hsm,30
relaxed_2hsm_model_108_corrected_H_0001_2hsm,19
relaxed_2hsm_model_109_corrected_H_0001_2hsm,11
relaxed_2hsm_model_11_corrected_H_0001_2hsm,17
relaxed_2hsm_model_110_corrected_H_0001_2hsm,24
relaxed_2hsm_model_111_corrected_H_0001_2hsm,15
relaxed_2hsm_model_112_corrected_H_0001_2hsm,31
relaxed_2hsm_model_113_corrected_H_0001_2hsm,26
relaxed_2hsm_model_114_corrected_H_0001_2hsm,13
relaxed_2hsm_model_115_corrected_H_0001_2hsm,18
relaxed_2hsm_model_116_corrected_H_0001_2hsm,20
relaxed_2hsm_model_117_corrected_H_0001_2hsm,19
relaxed_2hsm_model_118_corrected_H_0001_2hsm,18
relaxed_2hsm_model_119_corrected_H_0001_2hsm,19
relaxed_2hsm_model_12_corrected_H_0001_2hsm,21
relaxed_2hsm_model_120_corrected_H_0001_2hsm,15
relaxed_2hsm_model_121_corrected_H_0001_2hsm,14
relaxed_2hsm_model_122_corrected_H_0001_2hsm,19
relaxed_2hsm_model_123_corrected_H_0001_2hsm,25
relaxed_2hsm_model_124_corrected_H_0001_2hsm,28
relaxed_2hsm_model_125_corrected_H_0001_2hsm,31
relaxed_2hsm_model_126_corrected_H_0001_2hsm,23
relaxed_2hsm_model_127_corrected_H_0001_2hsm,15
relaxed_2hsm_model_128_corrected_H_0001_2hsm,27
relaxed_2hsm_model_129_corrected_H_0001_2hsm,15
relaxed_2hsm_model_13_corrected_H_0001_2hsm,13
relaxed_2hsm_model_130_corrected_H_0001_2hsm,16
relaxed_2hsm_model_131_corrected_H_0001_2hsm,22
relaxed_2hsm_model_132_corrected_H_0001_2hsm,16
relaxed_2hsm_model_133_corrected_H_0001_2hsm,11
relaxed_2hsm_model_134_corrected_H_0001_2hsm,14
