pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
complex.0_0_9_corrected_H_0001_6zbk,1.276595744680851,1.1827956989247312,1.193548387096774
complex.0_10_17_corrected_H_0001_6zbk,1.276595744680851,1.2917115177610334,1.2917115177610334
complex.0_10_19_corrected_H_0001_6zbk,1.0638297872340423,1.070663811563169,1.070663811563169
complex.0_10_43_corrected_H_0001_6zbk,0.851063829787234,0.8602150537634409,0.8602150537634409
complex.0_11_14_corrected_H_0001_6zbk,0.7446808510638299,0.7534983853606028,0.7534983853606028
complex.0_11_18_corrected_H_0001_6zbk,1.4893617021276595,1.5069967707212055,1.5069967707212055
complex.0_11_1_corrected_H_0001_6zbk,1.5957446808510638,1.6129032258064515,1.6129032258064515
complex.0_11_24_corrected_H_0001_6zbk,1.5957446808510638,1.6129032258064515,1.6129032258064515
complex.0_11_26_corrected_H_0001_6zbk,1.0638297872340423,1.0752688172043012,1.0752688172043012
complex.0_11_30_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_11_43_corrected_H_0001_6zbk,1.3829787234042552,1.3978494623655917,1.3978494623655917
complex.0_11_47_corrected_H_0001_6zbk,1.3829787234042552,1.3978494623655917,1.3978494623655917
complex.0_11_6_corrected_H_0001_6zbk,1.5957446808510638,1.6129032258064515,1.6129032258064515
complex.0_12_1_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_12_20_corrected_H_0001_6zbk,1.3829787234042552,1.3978494623655917,1.3978494623655917
complex.0_12_21_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_12_27_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_12_33_corrected_H_0001_6zbk,1.4893617021276595,1.5069967707212055,1.5069967707212055
complex.0_12_40_corrected_H_0001_6zbk,1.3829787234042552,1.3993541442411197,1.3993541442411197
complex.0_13_18_corrected_H_0001_6zbk,1.5957446808510638,1.6129032258064515,1.6129032258064515
complex.0_13_21_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_13_40_corrected_H_0001_6zbk,1.5957446808510638,1.6129032258064515,1.6129032258064515
complex.0_13_8_corrected_H_0001_6zbk,1.3829787234042552,1.3978494623655917,1.3978494623655917
complex.0_14_37_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_14_39_corrected_H_0001_6zbk,1.3829787234042552,1.3993541442411197,1.3993541442411197
complex.0_14_48_corrected_H_0001_6zbk,1.1702127659574468,1.1840688912809472,1.1840688912809472
complex.0_14_5_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_15_14_corrected_H_0001_6zbk,1.3829787234042552,1.3978494623655917,1.3978494623655917
complex.0_15_19_corrected_H_0001_6zbk,1.5957446808510638,1.6129032258064515,1.6129032258064515
complex.0_15_22_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_15_23_corrected_H_0001_6zbk,1.276595744680851,1.2903225806451613,1.2903225806451613
complex.0_15_26_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_15_29_corrected_H_0001_6zbk,1.4893617021276595,1.5069967707212055,1.5069967707212055
complex.0_16_25_corrected_H_0001_6zbk,1.5957446808510638,1.6146393972012916,1.6146393972012916
complex.0_16_26_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_16_35_corrected_H_0001_6zbk,1.4893617021276595,1.5069967707212055,1.5069967707212055
complex.0_16_37_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_16_42_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_16_7_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_17_12_corrected_H_0001_6zbk,1.4893617021276595,1.5069967707212055,1.5069967707212055
complex.0_17_22_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_17_34_corrected_H_0001_6zbk,1.4893617021276595,1.5053763440860215,1.5053763440860215
complex.0_17_38_corrected_H_0001_6zbk,1.4893617021276595,1.5069967707212055,1.5069967707212055
complex.0_17_40_corrected_H_0001_6zbk,1.3829787234042552,1.3978494623655917,1.3978494623655917
complex.0_17_46_corrected_H_0001_6zbk,1.5957446808510638,1.6129032258064515,1.6129032258064515
