pdb_file,all_contacts
sampled_1spp_model_1_1spp,100
sampled_1spp_model_10_1spp,170
sampled_1spp_model_100_1spp,342
sampled_1spp_model_101_1spp,341
sampled_1spp_model_102_1spp,388
sampled_1spp_model_103_1spp,151
sampled_1spp_model_104_1spp,141
sampled_1spp_model_105_1spp,244
sampled_1spp_model_106_1spp,150
sampled_1spp_model_107_1spp,299
sampled_1spp_model_108_1spp,300
sampled_1spp_model_109_1spp,218
sampled_1spp_model_11_1spp,237
sampled_1spp_model_110_1spp,148
sampled_1spp_model_111_1spp,285
sampled_1spp_model_112_1spp,439
sampled_1spp_model_113_1spp,189
sampled_1spp_model_114_1spp,261
sampled_1spp_model_115_1spp,355
sampled_1spp_model_116_1spp,77
sampled_1spp_model_117_1spp,217
sampled_1spp_model_118_1spp,208
sampled_1spp_model_119_1spp,256
sampled_1spp_model_12_1spp,225
sampled_1spp_model_120_1spp,251
sampled_1spp_model_121_1spp,236
sampled_1spp_model_122_1spp,170
sampled_1spp_model_123_1spp,352
sampled_1spp_model_124_1spp,358
sampled_1spp_model_125_1spp,240
sampled_1spp_model_126_1spp,212
sampled_1spp_model_127_1spp,352
sampled_1spp_model_128_1spp,265
sampled_1spp_model_129_1spp,263
sampled_1spp_model_13_1spp,292
sampled_1spp_model_130_1spp,217
sampled_1spp_model_131_1spp,230
sampled_1spp_model_132_1spp,184
sampled_1spp_model_133_1spp,163
sampled_1spp_model_134_1spp,143
sampled_1spp_model_135_1spp,268
sampled_1spp_model_136_1spp,119
sampled_1spp_model_137_1spp,268
sampled_1spp_model_138_1spp,178
sampled_1spp_model_139_1spp,96
sampled_1spp_model_14_1spp,238
sampled_1spp_model_140_1spp,297
sampled_1spp_model_141_1spp,162
sampled_1spp_model_142_1spp,174
sampled_1spp_model_143_1spp,229
sampled_1spp_model_144_1spp,258
sampled_1spp_model_145_1spp,282
sampled_1spp_model_146_1spp,211
sampled_1spp_model_147_1spp,236
sampled_1spp_model_148_1spp,290
sampled_1spp_model_149_1spp,225
sampled_1spp_model_15_1spp,213
sampled_1spp_model_150_1spp,169
sampled_1spp_model_151_1spp,272
sampled_1spp_model_152_1spp,293
sampled_1spp_model_153_1spp,250
sampled_1spp_model_154_1spp,255
sampled_1spp_model_155_1spp,242
sampled_1spp_model_156_1spp,354
sampled_1spp_model_157_1spp,221
sampled_1spp_model_158_1spp,224
sampled_1spp_model_159_1spp,273
sampled_1spp_model_16_1spp,280
sampled_1spp_model_160_1spp,245
sampled_1spp_model_161_1spp,335
sampled_1spp_model_162_1spp,249
sampled_1spp_model_163_1spp,336
sampled_1spp_model_164_1spp,280
sampled_1spp_model_165_1spp,169
sampled_1spp_model_166_1spp,193
sampled_1spp_model_167_1spp,283
sampled_1spp_model_168_1spp,194
sampled_1spp_model_169_1spp,176
sampled_1spp_model_17_1spp,190
sampled_1spp_model_170_1spp,257
sampled_1spp_model_171_1spp,374
