pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
sampled_2wmp_model_1,"(0.007046388725778039, 0.006555423122765197, 0.0068533969010727055)"
sampled_2wmp_model_10,"(0.0064591896652965355, 0.006551518761167362, 0.006551518761167362)"
sampled_2wmp_model_100,"(0.0064591896652965355, 0.006555423122765197, 0.006555423122765197)"
sampled_2wmp_model_101,"(0.004697592483852026, 0.004764740917212627, 0.004764740917212627)"
sampled_2wmp_model_102,"(0.008807985907222548, 0.007172743574417215, 0.0075235842927311005)"
sampled_2wmp_model_103,"(0.010569583088667059, 0.00655933214072749, 0.007081097197376267)"
sampled_2wmp_model_104,"(0.007046388725778039, 0.004764740917212627, 0.004923565614453047)"
sampled_2wmp_model_105,"(0.009395184967704051, 0.009529481834425254, 0.009529481834425254)"
sampled_2wmp_model_106,"(0.008220786846741044, 0.00834326579261025, 0.00834326579261025)"
sampled_2wmp_model_107,"(0.008807985907222548, 0.008348240906380441, 0.0086463923673226)"
sampled_2wmp_model_108,"(0.004697592483852026, 0.004761904761904762, 0.004761904761904762)"
sampled_2wmp_model_109,"(0.005284791544333529, 0.005366726296958855, 0.005366726296958855)"
sampled_2wmp_model_11,"(0.008220786846741044, 0.007134363852556481, 0.007219296755563105)"
sampled_2wmp_model_110,"(0.0035231943628890195, 0.00357355568790947, 0.00357355568790947)"
sampled_2wmp_model_111,"(0.008220786846741044, 0.007751937984496124, 0.007787014626959908)"
sampled_2wmp_model_112,"(0.007046388725778039, 0.007155635062611807, 0.007155635062611807)"
sampled_2wmp_model_113,"(0.005284791544333529, 0.005357142857142857, 0.005357142857142857)"
sampled_2wmp_model_114,"(0.010569583088667059, 0.007151370679380214, 0.007647993643226062)"
sampled_2wmp_model_115,"(0.005871990604815032, 0.0053699284009546535, 0.005401331491018716)"
sampled_2wmp_model_116,"(0.008807985907222548, 0.008338296605122097, 0.008636092912447886)"
sampled_2wmp_model_117,"(0.002348796241926013, 0.0023837902264600714, 0.0023837902264600714)"
sampled_2wmp_model_118,"(0.009982384028185555, 0.007142857142857143, 0.007589285714285714)"
sampled_2wmp_model_119,"(0.008220786846741044, 0.007756563245823389, 0.008054892601431982)"
sampled_2wmp_model_12,"(0.007633587786259542, 0.007751937984496124, 0.007751937984496124)"
sampled_2wmp_model_120,"(0.007046388725778039, 0.0059594755661501785, 0.006195371473976956)"
sampled_2wmp_model_121,"(0.014679976512037582, 0.00535077288941736, 0.005533705295893167)"
sampled_2wmp_model_122,"(0.01644157369348209, 0.007742703990470518, 0.007742703990470518)"
sampled_2wmp_model_123,"(0.0035231943628890195, 0.0035778175313059034, 0.0035778175313059034)"
sampled_2wmp_model_124,"(0.004697592483852026, 0.00357355568790947, 0.003911058169545364)"
sampled_2wmp_model_125,"(0.005284791544333529, 0.004761904761904762, 0.00505952380952381)"
sampled_2wmp_model_126,"(0.007633587786259542, 0.006547619047619048, 0.0066326530612244895)"
sampled_2wmp_model_127,"(0.0035231943628890195, 0.003575685339690107, 0.003575685339690107)"
sampled_2wmp_model_128,"(0.009395184967704051, 0.008928571428571428, 0.009226190476190476)"
sampled_2wmp_model_129,"(0.007046388725778039, 0.006555423122765197, 0.006590478861389609)"
sampled_2wmp_model_13,"(0.0064591896652965355, 0.005366726296958855, 0.005436879581886421)"
