pdb_file,all_contacts
complex.0_0_15_corrected_H_0001_6yxj,138
complex.0_0_19_corrected_H_0001_6yxj,190
complex.0_0_28_corrected_H_0001_6yxj,106
complex.0_0_39_corrected_H_0001_6yxj,234
complex.0_0_4_corrected_H_0001_6yxj,477
complex.0_0_8_corrected_H_0001_6yxj,234
complex.0_10_15_corrected_H_0001_6yxj,417
complex.0_10_19_corrected_H_0001_6yxj,274
complex.0_10_27_corrected_H_0001_6yxj,327
complex.0_10_28_corrected_H_0001_6yxj,403
complex.0_10_32_corrected_H_0001_6yxj,391
complex.0_10_39_corrected_H_0001_6yxj,365
complex.0_10_49_corrected_H_0001_6yxj,356
complex.0_10_7_corrected_H_0001_6yxj,335
complex.0_10_8_corrected_H_0001_6yxj,344
complex.0_11_10_corrected_H_0001_6yxj,309
complex.0_11_13_corrected_H_0001_6yxj,312
complex.0_11_30_corrected_H_0001_6yxj,409
complex.0_11_43_corrected_H_0001_6yxj,401
complex.0_11_49_corrected_H_0001_6yxj,384
complex.0_12_15_corrected_H_0001_6yxj,500
complex.0_12_21_corrected_H_0001_6yxj,438
complex.0_12_22_corrected_H_0001_6yxj,426
complex.0_12_46_corrected_H_0001_6yxj,342
complex.0_13_19_corrected_H_0001_6yxj,414
complex.0_13_1_corrected_H_0001_6yxj,387
complex.0_13_21_corrected_H_0001_6yxj,414
complex.0_13_27_corrected_H_0001_6yxj,284
complex.0_13_30_corrected_H_0001_6yxj,382
complex.0_13_3_corrected_H_0001_6yxj,346
complex.0_13_41_corrected_H_0001_6yxj,387
complex.0_13_43_corrected_H_0001_6yxj,364
complex.0_14_16_corrected_H_0001_6yxj,386
complex.0_14_24_corrected_H_0001_6yxj,367
complex.0_14_25_corrected_H_0001_6yxj,406
complex.0_14_31_corrected_H_0001_6yxj,383
complex.0_14_48_corrected_H_0001_6yxj,454
complex.0_14_8_corrected_H_0001_6yxj,395
complex.0_15_12_corrected_H_0001_6yxj,364
complex.0_15_17_corrected_H_0001_6yxj,412
complex.0_15_33_corrected_H_0001_6yxj,438
complex.0_15_3_corrected_H_0001_6yxj,434
complex.0_15_44_corrected_H_0001_6yxj,427
complex.0_15_49_corrected_H_0001_6yxj,427
complex.0_16_11_corrected_H_0001_6yxj,415
complex.0_16_14_corrected_H_0001_6yxj,377
complex.0_16_21_corrected_H_0001_6yxj,403
complex.0_16_33_corrected_H_0001_6yxj,352
complex.0_17_13_corrected_H_0001_6yxj,427
complex.0_17_20_corrected_H_0001_6yxj,474
complex.0_17_26_corrected_H_0001_6yxj,425
complex.0_17_5_corrected_H_0001_6yxj,370
complex.0_18_11_corrected_H_0001_6yxj,413
complex.0_18_16_corrected_H_0001_6yxj,428
complex.0_18_20_corrected_H_0001_6yxj,419
complex.0_18_28_corrected_H_0001_6yxj,336
complex.0_18_2_corrected_H_0001_6yxj,435
complex.0_18_32_corrected_H_0001_6yxj,406
complex.0_1_13_corrected_H_0001_6yxj,344
complex.0_1_22_corrected_H_0001_6yxj,317
complex.0_1_2_corrected_H_0001_6yxj,185
complex.0_1_43_corrected_H_0001_6yxj,257
