pdb_file,score,weighted_avg,avg,standard_dev
sampled_3qc8_model_1,"(5105823.747619048, 567313.7497354498, 1804836.0, 0.0)"
sampled_3qc8_model_10,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_100,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_101,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_102,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_103,"(4920028.071428572, 615003.5089285715, 1810260.0, 0.0)"
sampled_3qc8_model_104,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_105,"(4908971.828571429, 613621.4785714286, 1806192.0, 0.0)"
sampled_3qc8_model_106,"(4686713.742857142, 669530.5346938774, 1807548.0, 0.0)"
sampled_3qc8_model_107,"(5294250.709523809, 529425.0709523809, 1807548.0, 0.0)"
sampled_3qc8_model_108,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_109,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_11,"(4693745.571428572, 670535.0816326531, 1810260.0, 0.0)"
sampled_3qc8_model_110,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_111,"(4686713.742857142, 669530.5346938774, 1807548.0, 0.0)"
sampled_3qc8_model_112,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_113,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_114,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_115,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_116,"(5098151.585714285, 566461.2873015873, 1802124.0, 0.0)"
sampled_3qc8_model_117,"(4908971.828571429, 613621.4785714286, 1806192.0, 0.0)"
sampled_3qc8_model_118,"(5098151.585714285, 566461.2873015873, 1802124.0, 0.0)"
sampled_3qc8_model_119,"(4908971.828571429, 613621.4785714286, 1806192.0, 0.0)"
sampled_3qc8_model_12,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_120,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_121,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_122,"(4908971.828571429, 613621.4785714286, 1806192.0, 0.0)"
sampled_3qc8_model_123,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_124,"(5098151.585714285, 566461.2873015873, 1802124.0, 0.0)"
sampled_3qc8_model_125,"(4908971.828571429, 613621.4785714286, 1806192.0, 0.0)"
sampled_3qc8_model_126,"(4908971.828571429, 613621.4785714286, 1806192.0, 0.0)"
sampled_3qc8_model_127,"(4908971.828571429, 613621.4785714286, 1806192.0, 0.0)"
sampled_3qc8_model_128,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_129,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_13,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_130,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_131,"(5098151.585714285, 566461.2873015873, 1802124.0, 0.0)"
sampled_3qc8_model_132,"(5121168.071428572, 569018.6746031747, 1810260.0, 0.0)"
sampled_3qc8_model_133,"(5098151.585714285, 566461.2873015873, 1802124.0, 0.0)"
sampled_3qc8_model_134,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_135,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_136,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_137,"(5098151.585714285, 566461.2873015873, 1802124.0, 0.0)"
sampled_3qc8_model_138,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_139,"(4693745.571428572, 670535.0816326531, 1810260.0, 0.0)"
sampled_3qc8_model_14,"(4908971.828571429, 613621.4785714286, 1806192.0, 0.0)"
sampled_3qc8_model_140,"(5098151.585714285, 566461.2873015873, 1802124.0, 0.0)"
sampled_3qc8_model_141,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_142,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_143,"(5098151.585714285, 566461.2873015873, 1802124.0, 0.0)"
sampled_3qc8_model_144,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_145,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_146,"(4431814.8, 738635.7999999999, 1808904.0, 0.0)"
sampled_3qc8_model_147,"(5098151.585714285, 566461.2873015873, 1802124.0, 0.0)"
sampled_3qc8_model_148,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_149,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_15,"(5105823.747619048, 567313.7497354498, 1804836.0, 0.0)"
sampled_3qc8_model_150,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_151,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_152,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_153,"(4693745.571428572, 670535.0816326531, 1810260.0, 0.0)"
sampled_3qc8_model_154,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_155,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
sampled_3qc8_model_156,"(4690229.657142857, 670032.8081632653, 1808904.0, 0.0)"
