pdb_file,score,weighted_avg,avg,standard_dev
complex.0_0_11_corrected_H_0001,7541379.3,1256896.55,3078114.0,0.0
complex.0_0_12_corrected_H_0001,8313047.132142858,1039130.8915178572,3058677.0,0.0
complex.0_0_23_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_0_47_corrected_H_0001,8317849.585714285,1039731.1982142857,3060444.0,0.0
complex.0_0_48_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_0_4_corrected_H_0001,7939875.664285715,1134267.9520408164,3062211.0,0.0
complex.0_10_11_corrected_H_0001,7532721.0,1255453.5,3074580.0,0.0
complex.0_10_28_corrected_H_0001,8322652.039285715,1040331.5049107143,3062211.0,0.0
complex.0_10_41_corrected_H_0001,7537050.15,1256175.0250000001,3076347.0,0.0
complex.0_10_8_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_11_28_corrected_H_0001,7537050.15,1256175.0250000001,3076347.0,0.0
complex.0_11_31_corrected_H_0001,8341861.853571428,1042732.7316964285,3069279.0,0.0
complex.0_11_32_corrected_H_0001,7962783.557142857,1137540.5081632654,3071046.0,0.0
complex.0_11_33_corrected_H_0001,8332256.946428572,1041532.1183035715,3065745.0,0.0
complex.0_11_41_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_11_44_corrected_H_0001,7519733.55,1253288.925,3069279.0,0.0
complex.0_11_5_corrected_H_0001,7532721.0,1255453.5,3074580.0,0.0
complex.0_12_0_corrected_H_0001,8332256.946428572,1041532.1183035715,3065745.0,0.0
complex.0_12_28_corrected_H_0001,8298639.771428572,1037329.9714285715,3053376.0,0.0
complex.0_12_30_corrected_H_0001,8341861.853571428,1042732.7316964285,3069279.0,0.0
complex.0_12_32_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_12_5_corrected_H_0001,8317849.585714285,1039731.1982142857,3060444.0,0.0
complex.0_13_18_corrected_H_0001,7537050.15,1256175.0250000001,3076347.0,0.0
complex.0_13_30_corrected_H_0001,8327454.492857142,1040931.8116071428,3063978.0,0.0
complex.0_13_40_corrected_H_0001,7958201.978571428,1136885.9969387755,3069279.0,0.0
complex.0_13_7_corrected_H_0001,8337059.4,1042132.425,3067512.0,0.0
complex.0_14_12_corrected_H_0001,7537050.15,1256175.0250000001,3076347.0,0.0
complex.0_14_40_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_14_41_corrected_H_0001,8322652.039285715,1040331.5049107143,3062211.0,0.0
complex.0_14_46_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_14_49_corrected_H_0001,7958201.978571428,1136885.9969387755,3069279.0,0.0
complex.0_15_28_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_15_45_corrected_H_0001,7971946.714285715,1138849.530612245,3074580.0,0.0
complex.0_15_47_corrected_H_0001,8327454.492857142,1040931.8116071428,3063978.0,0.0
complex.0_15_4_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_16_23_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_16_24_corrected_H_0001,8322652.039285715,1040331.5049107143,3062211.0,0.0
complex.0_16_45_corrected_H_0001,8341861.853571428,1042732.7316964285,3069279.0,0.0
complex.0_16_47_corrected_H_0001,8337059.4,1042132.425,3067512.0,0.0
complex.0_17_18_corrected_H_0001,8337059.4,1042132.425,3067512.0,0.0
complex.0_17_1_corrected_H_0001,8322652.039285715,1040331.5049107143,3062211.0,0.0
complex.0_17_20_corrected_H_0001,8341861.853571428,1042732.7316964285,3069279.0,0.0
complex.0_17_27_corrected_H_0001,8337059.4,1042132.425,3067512.0,0.0
complex.0_17_36_corrected_H_0001,7541379.3,1256896.55,3078114.0,0.0
complex.0_18_13_corrected_H_0001,8341861.853571428,1042732.7316964285,3069279.0,0.0
complex.0_18_34_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_18_35_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_19_8_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_19_9_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_1_33_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_1_36_corrected_H_0001,8672895.279761905,963655.0310846561,3065745.0,0.0
complex.0_1_40_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_1_5_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_2_21_corrected_H_0001,7532721.0,1255453.5,3074580.0,0.0
complex.0_2_24_corrected_H_0001,8298639.771428572,1037329.9714285715,3053376.0,0.0
complex.0_2_26_corrected_H_0001,7519733.55,1253288.925,3069279.0,0.0
complex.0_2_42_corrected_H_0001,7953620.4,1136231.4857142859,3067512.0,0.0
complex.0_3_17_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_3_2_corrected_H_0001,8332256.946428572,1041532.1183035715,3065745.0,0.0
complex.0_3_3_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_3_41_corrected_H_0001,7953620.4,1136231.4857142859,3067512.0,0.0
complex.0_3_9_corrected_H_0001,8327454.492857142,1040931.8116071428,3063978.0,0.0
complex.0_4_18_corrected_H_0001,8356269.214285715,1044533.6517857143,3074580.0,0.0
complex.0_4_26_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_4_8_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_5_14_corrected_H_0001,8322652.039285715,1040331.5049107143,3062211.0,0.0
complex.0_5_18_corrected_H_0001,7537050.15,1256175.0250000001,3076347.0,0.0
complex.0_5_1_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_5_20_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_5_23_corrected_H_0001,7971946.714285715,1138849.530612245,3074580.0,0.0
complex.0_5_24_corrected_H_0001,7541379.3,1256896.55,3078114.0,0.0
complex.0_5_26_corrected_H_0001,8327454.492857142,1040931.8116071428,3063978.0,0.0
complex.0_5_28_corrected_H_0001,7967365.135714285,1138195.019387755,3072813.0,0.0
complex.0_5_30_corrected_H_0001,7532721.0,1255453.5,3074580.0,0.0
complex.0_5_32_corrected_H_0001,8341861.853571428,1042732.7316964285,3069279.0,0.0
complex.0_5_3_corrected_H_0001,7944457.242857142,1134922.463265306,3063978.0,0.0
complex.0_5_45_corrected_H_0001,7537050.15,1256175.0250000001,3076347.0,0.0
complex.0_6_12_corrected_H_0001,8337059.4,1042132.425,3067512.0,0.0
complex.0_6_19_corrected_H_0001,7515404.4,1252567.4000000001,3067512.0,0.0
complex.0_6_1_corrected_H_0001,8356269.214285715,1044533.6517857143,3074580.0,0.0
complex.0_6_24_corrected_H_0001,8332256.946428572,1041532.1183035715,3065745.0,0.0
complex.0_7_27_corrected_H_0001,7962783.557142857,1137540.5081632654,3071046.0,0.0
complex.0_7_39_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_7_40_corrected_H_0001,7541379.3,1256896.55,3078114.0,0.0
complex.0_8_27_corrected_H_0001,7944457.242857142,1134922.463265306,3063978.0,0.0
complex.0_8_49_corrected_H_0001,8308244.678571428,1038530.5848214285,3056910.0,0.0
complex.0_8_4_corrected_H_0001,8351466.760714285,1043933.3450892856,3072813.0,0.0
complex.0_9_21_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.0_9_35_corrected_H_0001,8332256.946428572,1041532.1183035715,3065745.0,0.0
complex.1_0_15_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
complex.1_0_1_corrected_H_0001,8341861.853571428,1042732.7316964285,3069279.0,0.0
complex.1_0_3_corrected_H_0001,8642902.558333334,960322.5064814815,3055143.0,0.0
complex.1_0_46_corrected_H_0001,7944457.242857142,1134922.463265306,3063978.0,0.0
complex.1_10_13_corrected_H_0001,8341861.853571428,1042732.7316964285,3069279.0,0.0
complex.1_10_20_corrected_H_0001,8346664.307142857,1043333.0383928572,3071046.0,0.0
