pdb_file,all_contacts
relaxed_1c3a_model_1_corrected_H_0001_1c3a,161
relaxed_1c3a_model_10_corrected_H_0001_1c3a,469
relaxed_1c3a_model_100_corrected_H_0001_1c3a,295
relaxed_1c3a_model_101_corrected_H_0001_1c3a,329
relaxed_1c3a_model_102_corrected_H_0001_1c3a,628
relaxed_1c3a_model_103_corrected_H_0001_1c3a,509
relaxed_1c3a_model_104_corrected_H_0001_1c3a,349
relaxed_1c3a_model_105_corrected_H_0001_1c3a,325
relaxed_1c3a_model_106_corrected_H_0001_1c3a,376
relaxed_1c3a_model_107_corrected_H_0001_1c3a,338
relaxed_1c3a_model_108_corrected_H_0001_1c3a,418
relaxed_1c3a_model_109_corrected_H_0001_1c3a,378
relaxed_1c3a_model_11_corrected_H_0001_1c3a,367
relaxed_1c3a_model_110_corrected_H_0001_1c3a,592
relaxed_1c3a_model_111_corrected_H_0001_1c3a,335
relaxed_1c3a_model_112_corrected_H_0001_1c3a,342
relaxed_1c3a_model_113_corrected_H_0001_1c3a,593
relaxed_1c3a_model_114_corrected_H_0001_1c3a,565
relaxed_1c3a_model_115_corrected_H_0001_1c3a,318
relaxed_1c3a_model_116_corrected_H_0001_1c3a,343
relaxed_1c3a_model_117_corrected_H_0001_1c3a,423
relaxed_1c3a_model_118_corrected_H_0001_1c3a,482
relaxed_1c3a_model_119_corrected_H_0001_1c3a,429
relaxed_1c3a_model_12_corrected_H_0001_1c3a,402
relaxed_1c3a_model_120_corrected_H_0001_1c3a,502
relaxed_1c3a_model_121_corrected_H_0001_1c3a,587
relaxed_1c3a_model_122_corrected_H_0001_1c3a,369
relaxed_1c3a_model_123_corrected_H_0001_1c3a,435
relaxed_1c3a_model_124_corrected_H_0001_1c3a,561
relaxed_1c3a_model_125_corrected_H_0001_1c3a,436
relaxed_1c3a_model_126_corrected_H_0001_1c3a,557
relaxed_1c3a_model_127_corrected_H_0001_1c3a,435
relaxed_1c3a_model_128_corrected_H_0001_1c3a,451
relaxed_1c3a_model_129_corrected_H_0001_1c3a,358
relaxed_1c3a_model_13_corrected_H_0001_1c3a,295
relaxed_1c3a_model_130_corrected_H_0001_1c3a,670
relaxed_1c3a_model_131_corrected_H_0001_1c3a,439
relaxed_1c3a_model_132_corrected_H_0001_1c3a,302
relaxed_1c3a_model_133_corrected_H_0001_1c3a,494
relaxed_1c3a_model_134_corrected_H_0001_1c3a,479
relaxed_1c3a_model_135_corrected_H_0001_1c3a,291
relaxed_1c3a_model_136_corrected_H_0001_1c3a,584
relaxed_1c3a_model_137_corrected_H_0001_1c3a,393
relaxed_1c3a_model_138_corrected_H_0001_1c3a,553
relaxed_1c3a_model_139_corrected_H_0001_1c3a,497
relaxed_1c3a_model_14_corrected_H_0001_1c3a,208
relaxed_1c3a_model_140_corrected_H_0001_1c3a,436
relaxed_1c3a_model_141_corrected_H_0001_1c3a,358
relaxed_1c3a_model_142_corrected_H_0001_1c3a,200
relaxed_1c3a_model_143_corrected_H_0001_1c3a,396
relaxed_1c3a_model_144_corrected_H_0001_1c3a,463
relaxed_1c3a_model_145_corrected_H_0001_1c3a,404
relaxed_1c3a_model_146_corrected_H_0001_1c3a,310
relaxed_1c3a_model_147_corrected_H_0001_1c3a,345
relaxed_1c3a_model_148_corrected_H_0001_1c3a,447
relaxed_1c3a_model_149_corrected_H_0001_1c3a,475
relaxed_1c3a_model_15_corrected_H_0001_1c3a,309
relaxed_1c3a_model_150_corrected_H_0001_1c3a,546
relaxed_1c3a_model_151_corrected_H_0001_1c3a,382
relaxed_1c3a_model_152_corrected_H_0001_1c3a,410
relaxed_1c3a_model_153_corrected_H_0001_1c3a,449
relaxed_1c3a_model_154_corrected_H_0001_1c3a,612
relaxed_1c3a_model_155_corrected_H_0001_1c3a,483
relaxed_1c3a_model_156_corrected_H_0001_1c3a,603
relaxed_1c3a_model_157_corrected_H_0001_1c3a,420
relaxed_1c3a_model_158_corrected_H_0001_1c3a,456
relaxed_1c3a_model_159_corrected_H_0001_1c3a,480
relaxed_1c3a_model_16_corrected_H_0001_1c3a,358
relaxed_1c3a_model_160_corrected_H_0001_1c3a,612
relaxed_1c3a_model_161_corrected_H_0001_1c3a,412
relaxed_1c3a_model_162_corrected_H_0001_1c3a,594
relaxed_1c3a_model_163_corrected_H_0001_1c3a,463
relaxed_1c3a_model_164_corrected_H_0001_1c3a,453
relaxed_1c3a_model_165_corrected_H_0001_1c3a,521
relaxed_1c3a_model_166_corrected_H_0001_1c3a,464
relaxed_1c3a_model_167_corrected_H_0001_1c3a,487
relaxed_1c3a_model_168_corrected_H_0001_1c3a,376
relaxed_1c3a_model_169_corrected_H_0001_1c3a,427
relaxed_1c3a_model_17_corrected_H_0001_1c3a,212
relaxed_1c3a_model_170_corrected_H_0001_1c3a,435
relaxed_1c3a_model_171_corrected_H_0001_1c3a,488
relaxed_1c3a_model_172_corrected_H_0001_1c3a,401
relaxed_1c3a_model_173_corrected_H_0001_1c3a,514
relaxed_1c3a_model_174_corrected_H_0001_1c3a,497
relaxed_1c3a_model_175_corrected_H_0001_1c3a,374
relaxed_1c3a_model_176_corrected_H_0001_1c3a,435
relaxed_1c3a_model_177_corrected_H_0001_1c3a,531
relaxed_1c3a_model_178_corrected_H_0001_1c3a,496
relaxed_1c3a_model_179_corrected_H_0001_1c3a,650
relaxed_1c3a_model_18_corrected_H_0001_1c3a,118
relaxed_1c3a_model_180_corrected_H_0001_1c3a,998
relaxed_1c3a_model_181_corrected_H_0001_1c3a,726
relaxed_1c3a_model_182_corrected_H_0001_1c3a,255
relaxed_1c3a_model_183_corrected_H_0001_1c3a,604
relaxed_1c3a_model_184_corrected_H_0001_1c3a,412
relaxed_1c3a_model_185_corrected_H_0001_1c3a,542
relaxed_1c3a_model_186_corrected_H_0001_1c3a,389
relaxed_1c3a_model_187_corrected_H_0001_1c3a,444
relaxed_1c3a_model_188_corrected_H_0001_1c3a,436
relaxed_1c3a_model_189_corrected_H_0001_1c3a,493
relaxed_1c3a_model_19_corrected_H_0001_1c3a,289
relaxed_1c3a_model_190_corrected_H_0001_1c3a,403
relaxed_1c3a_model_191_corrected_H_0001_1c3a,551
relaxed_1c3a_model_192_corrected_H_0001_1c3a,385
relaxed_1c3a_model_193_corrected_H_0001_1c3a,692
relaxed_1c3a_model_194_corrected_H_0001_1c3a,331
relaxed_1c3a_model_195_corrected_H_0001_1c3a,599
relaxed_1c3a_model_196_corrected_H_0001_1c3a,415
relaxed_1c3a_model_197_corrected_H_0001_1c3a,374
relaxed_1c3a_model_198_corrected_H_0001_1c3a,485
relaxed_1c3a_model_199_corrected_H_0001_1c3a,536
relaxed_1c3a_model_2_corrected_H_0001_1c3a,220
relaxed_1c3a_model_20_corrected_H_0001_1c3a,385
relaxed_1c3a_model_200_corrected_H_0001_1c3a,667
relaxed_1c3a_model_201_corrected_H_0001_1c3a,559
relaxed_1c3a_model_202_corrected_H_0001_1c3a,543
relaxed_1c3a_model_203_corrected_H_0001_1c3a,462
relaxed_1c3a_model_204_corrected_H_0001_1c3a,528
relaxed_1c3a_model_205_corrected_H_0001_1c3a,264
relaxed_1c3a_model_206_corrected_H_0001_1c3a,516
relaxed_1c3a_model_207_corrected_H_0001_1c3a,601
relaxed_1c3a_model_208_corrected_H_0001_1c3a,518
relaxed_1c3a_model_209_corrected_H_0001_1c3a,548
relaxed_1c3a_model_21_corrected_H_0001_1c3a,257
relaxed_1c3a_model_210_corrected_H_0001_1c3a,643
relaxed_1c3a_model_211_corrected_H_0001_1c3a,587
relaxed_1c3a_model_212_corrected_H_0001_1c3a,554
relaxed_1c3a_model_213_corrected_H_0001_1c3a,814
relaxed_1c3a_model_214_corrected_H_0001_1c3a,482
relaxed_1c3a_model_215_corrected_H_0001_1c3a,454
relaxed_1c3a_model_216_corrected_H_0001_1c3a,421
relaxed_1c3a_model_217_corrected_H_0001_1c3a,498
relaxed_1c3a_model_218_corrected_H_0001_1c3a,320
relaxed_1c3a_model_219_corrected_H_0001_1c3a,493
relaxed_1c3a_model_22_corrected_H_0001_1c3a,553
relaxed_1c3a_model_220_corrected_H_0001_1c3a,519
relaxed_1c3a_model_221_corrected_H_0001_1c3a,549
relaxed_1c3a_model_222_corrected_H_0001_1c3a,368
relaxed_1c3a_model_223_corrected_H_0001_1c3a,406
relaxed_1c3a_model_224_corrected_H_0001_1c3a,357
relaxed_1c3a_model_225_corrected_H_0001_1c3a,531
relaxed_1c3a_model_226_corrected_H_0001_1c3a,482
relaxed_1c3a_model_227_corrected_H_0001_1c3a,582
relaxed_1c3a_model_228_corrected_H_0001_1c3a,428
relaxed_1c3a_model_229_corrected_H_0001_1c3a,441
relaxed_1c3a_model_23_corrected_H_0001_1c3a,346
relaxed_1c3a_model_230_corrected_H_0001_1c3a,495
relaxed_1c3a_model_231_corrected_H_0001_1c3a,319
relaxed_1c3a_model_232_corrected_H_0001_1c3a,311
relaxed_1c3a_model_233_corrected_H_0001_1c3a,374
relaxed_1c3a_model_234_corrected_H_0001_1c3a,514
relaxed_1c3a_model_235_corrected_H_0001_1c3a,432
relaxed_1c3a_model_236_corrected_H_0001_1c3a,595
relaxed_1c3a_model_237_corrected_H_0001_1c3a,641
relaxed_1c3a_model_238_corrected_H_0001_1c3a,410
relaxed_1c3a_model_239_corrected_H_0001_1c3a,446
relaxed_1c3a_model_24_corrected_H_0001_1c3a,316
relaxed_1c3a_model_240_corrected_H_0001_1c3a,667
relaxed_1c3a_model_241_corrected_H_0001_1c3a,613
relaxed_1c3a_model_242_corrected_H_0001_1c3a,658
relaxed_1c3a_model_243_corrected_H_0001_1c3a,408
relaxed_1c3a_model_244_corrected_H_0001_1c3a,371
relaxed_1c3a_model_245_corrected_H_0001_1c3a,500
relaxed_1c3a_model_246_corrected_H_0001_1c3a,378
relaxed_1c3a_model_247_corrected_H_0001_1c3a,532
relaxed_1c3a_model_248_corrected_H_0001_1c3a,439
relaxed_1c3a_model_249_corrected_H_0001_1c3a,504
relaxed_1c3a_model_25_corrected_H_0001_1c3a,315
relaxed_1c3a_model_250_corrected_H_0001_1c3a,480
relaxed_1c3a_model_251_corrected_H_0001_1c3a,601
relaxed_1c3a_model_252_corrected_H_0001_1c3a,512
relaxed_1c3a_model_253_corrected_H_0001_1c3a,694
relaxed_1c3a_model_254_corrected_H_0001_1c3a,432
relaxed_1c3a_model_255_corrected_H_0001_1c3a,658
relaxed_1c3a_model_256_corrected_H_0001_1c3a,1000
relaxed_1c3a_model_257_corrected_H_0001_1c3a,689
relaxed_1c3a_model_258_corrected_H_0001_1c3a,688
relaxed_1c3a_model_259_corrected_H_0001_1c3a,433
relaxed_1c3a_model_26_corrected_H_0001_1c3a,197
relaxed_1c3a_model_260_corrected_H_0001_1c3a,569
relaxed_1c3a_model_261_corrected_H_0001_1c3a,577
relaxed_1c3a_model_262_corrected_H_0001_1c3a,607
relaxed_1c3a_model_263_corrected_H_0001_1c3a,499
relaxed_1c3a_model_264_corrected_H_0001_1c3a,653
relaxed_1c3a_model_265_corrected_H_0001_1c3a,520
relaxed_1c3a_model_266_corrected_H_0001_1c3a,643
relaxed_1c3a_model_267_corrected_H_0001_1c3a,510
relaxed_1c3a_model_268_corrected_H_0001_1c3a,599
relaxed_1c3a_model_269_corrected_H_0001_1c3a,281
relaxed_1c3a_model_27_corrected_H_0001_1c3a,105
relaxed_1c3a_model_270_corrected_H_0001_1c3a,736
relaxed_1c3a_model_271_corrected_H_0001_1c3a,505
relaxed_1c3a_model_272_corrected_H_0001_1c3a,698
relaxed_1c3a_model_273_corrected_H_0001_1c3a,582
relaxed_1c3a_model_274_corrected_H_0001_1c3a,627
relaxed_1c3a_model_275_corrected_H_0001_1c3a,729
relaxed_1c3a_model_276_corrected_H_0001_1c3a,793
relaxed_1c3a_model_277_corrected_H_0001_1c3a,698
relaxed_1c3a_model_278_corrected_H_0001_1c3a,529
relaxed_1c3a_model_279_corrected_H_0001_1c3a,559
relaxed_1c3a_model_28_corrected_H_0001_1c3a,303
relaxed_1c3a_model_280_corrected_H_0001_1c3a,712
relaxed_1c3a_model_281_corrected_H_0001_1c3a,716
relaxed_1c3a_model_282_corrected_H_0001_1c3a,528
relaxed_1c3a_model_283_corrected_H_0001_1c3a,676
relaxed_1c3a_model_284_corrected_H_0001_1c3a,531
relaxed_1c3a_model_285_corrected_H_0001_1c3a,769
relaxed_1c3a_model_286_corrected_H_0001_1c3a,525
relaxed_1c3a_model_287_corrected_H_0001_1c3a,665
relaxed_1c3a_model_288_corrected_H_0001_1c3a,555
relaxed_1c3a_model_289_corrected_H_0001_1c3a,352
relaxed_1c3a_model_29_corrected_H_0001_1c3a,601
relaxed_1c3a_model_290_corrected_H_0001_1c3a,681
relaxed_1c3a_model_291_corrected_H_0001_1c3a,611
relaxed_1c3a_model_292_corrected_H_0001_1c3a,370
relaxed_1c3a_model_293_corrected_H_0001_1c3a,398
relaxed_1c3a_model_294_corrected_H_0001_1c3a,639
relaxed_1c3a_model_295_corrected_H_0001_1c3a,518
relaxed_1c3a_model_296_corrected_H_0001_1c3a,696
relaxed_1c3a_model_297_corrected_H_0001_1c3a,472
relaxed_1c3a_model_298_corrected_H_0001_1c3a,611
relaxed_1c3a_model_299_corrected_H_0001_1c3a,620
relaxed_1c3a_model_3_corrected_H_0001_1c3a,272
relaxed_1c3a_model_30_corrected_H_0001_1c3a,317
relaxed_1c3a_model_300_corrected_H_0001_1c3a,459
relaxed_1c3a_model_301_corrected_H_0001_1c3a,691
relaxed_1c3a_model_302_corrected_H_0001_1c3a,834
relaxed_1c3a_model_303_corrected_H_0001_1c3a,930
relaxed_1c3a_model_304_corrected_H_0001_1c3a,478
relaxed_1c3a_model_305_corrected_H_0001_1c3a,691
relaxed_1c3a_model_306_corrected_H_0001_1c3a,933
relaxed_1c3a_model_307_corrected_H_0001_1c3a,881
relaxed_1c3a_model_308_corrected_H_0001_1c3a,840
relaxed_1c3a_model_309_corrected_H_0001_1c3a,606
