pdb_file,all_contacts
relaxed_1pdk_model_1_corrected_H_0001_1pdk,192
relaxed_1pdk_model_10_corrected_H_0001_1pdk,142
relaxed_1pdk_model_100_corrected_H_0001_1pdk,349
relaxed_1pdk_model_101_corrected_H_0001_1pdk,353
relaxed_1pdk_model_102_corrected_H_0001_1pdk,267
relaxed_1pdk_model_103_corrected_H_0001_1pdk,475
relaxed_1pdk_model_104_corrected_H_0001_1pdk,470
relaxed_1pdk_model_105_corrected_H_0001_1pdk,230
relaxed_1pdk_model_106_corrected_H_0001_1pdk,348
relaxed_1pdk_model_107_corrected_H_0001_1pdk,294
relaxed_1pdk_model_108_corrected_H_0001_1pdk,313
relaxed_1pdk_model_109_corrected_H_0001_1pdk,466
relaxed_1pdk_model_11_corrected_H_0001_1pdk,192
relaxed_1pdk_model_110_corrected_H_0001_1pdk,369
relaxed_1pdk_model_111_corrected_H_0001_1pdk,291
relaxed_1pdk_model_112_corrected_H_0001_1pdk,267
relaxed_1pdk_model_113_corrected_H_0001_1pdk,281
relaxed_1pdk_model_114_corrected_H_0001_1pdk,252
relaxed_1pdk_model_115_corrected_H_0001_1pdk,343
relaxed_1pdk_model_116_corrected_H_0001_1pdk,300
relaxed_1pdk_model_117_corrected_H_0001_1pdk,404
relaxed_1pdk_model_118_corrected_H_0001_1pdk,224
relaxed_1pdk_model_119_corrected_H_0001_1pdk,312
relaxed_1pdk_model_12_corrected_H_0001_1pdk,235
relaxed_1pdk_model_120_corrected_H_0001_1pdk,268
relaxed_1pdk_model_121_corrected_H_0001_1pdk,523
relaxed_1pdk_model_122_corrected_H_0001_1pdk,470
relaxed_1pdk_model_123_corrected_H_0001_1pdk,436
relaxed_1pdk_model_124_corrected_H_0001_1pdk,260
relaxed_1pdk_model_125_corrected_H_0001_1pdk,236
relaxed_1pdk_model_126_corrected_H_0001_1pdk,207
relaxed_1pdk_model_127_corrected_H_0001_1pdk,298
relaxed_1pdk_model_128_corrected_H_0001_1pdk,349
relaxed_1pdk_model_129_corrected_H_0001_1pdk,459
relaxed_1pdk_model_13_corrected_H_0001_1pdk,220
relaxed_1pdk_model_130_corrected_H_0001_1pdk,246
relaxed_1pdk_model_131_corrected_H_0001_1pdk,349
relaxed_1pdk_model_132_corrected_H_0001_1pdk,324
relaxed_1pdk_model_133_corrected_H_0001_1pdk,354
relaxed_1pdk_model_134_corrected_H_0001_1pdk,384
relaxed_1pdk_model_135_corrected_H_0001_1pdk,674
relaxed_1pdk_model_136_corrected_H_0001_1pdk,470
relaxed_1pdk_model_137_corrected_H_0001_1pdk,369
relaxed_1pdk_model_138_corrected_H_0001_1pdk,352
relaxed_1pdk_model_139_corrected_H_0001_1pdk,412
relaxed_1pdk_model_14_corrected_H_0001_1pdk,284
relaxed_1pdk_model_140_corrected_H_0001_1pdk,328
relaxed_1pdk_model_141_corrected_H_0001_1pdk,291
relaxed_1pdk_model_142_corrected_H_0001_1pdk,542
relaxed_1pdk_model_143_corrected_H_0001_1pdk,299
relaxed_1pdk_model_144_corrected_H_0001_1pdk,294
relaxed_1pdk_model_145_corrected_H_0001_1pdk,307
relaxed_1pdk_model_146_corrected_H_0001_1pdk,415
relaxed_1pdk_model_147_corrected_H_0001_1pdk,231
relaxed_1pdk_model_148_corrected_H_0001_1pdk,333
relaxed_1pdk_model_149_corrected_H_0001_1pdk,264
relaxed_1pdk_model_15_corrected_H_0001_1pdk,293
relaxed_1pdk_model_150_corrected_H_0001_1pdk,448
relaxed_1pdk_model_151_corrected_H_0001_1pdk,587
relaxed_1pdk_model_152_corrected_H_0001_1pdk,399
relaxed_1pdk_model_153_corrected_H_0001_1pdk,540
relaxed_1pdk_model_154_corrected_H_0001_1pdk,253
relaxed_1pdk_model_155_corrected_H_0001_1pdk,460
relaxed_1pdk_model_156_corrected_H_0001_1pdk,357
relaxed_1pdk_model_157_corrected_H_0001_1pdk,488
relaxed_1pdk_model_158_corrected_H_0001_1pdk,453
relaxed_1pdk_model_159_corrected_H_0001_1pdk,499
relaxed_1pdk_model_16_corrected_H_0001_1pdk,187
relaxed_1pdk_model_160_corrected_H_0001_1pdk,397
relaxed_1pdk_model_161_corrected_H_0001_1pdk,430
relaxed_1pdk_model_162_corrected_H_0001_1pdk,487
relaxed_1pdk_model_163_corrected_H_0001_1pdk,334
relaxed_1pdk_model_164_corrected_H_0001_1pdk,437
relaxed_1pdk_model_165_corrected_H_0001_1pdk,403
relaxed_1pdk_model_166_corrected_H_0001_1pdk,488
relaxed_1pdk_model_167_corrected_H_0001_1pdk,575
relaxed_1pdk_model_168_corrected_H_0001_1pdk,522
relaxed_1pdk_model_169_corrected_H_0001_1pdk,265
relaxed_1pdk_model_17_corrected_H_0001_1pdk,364
relaxed_1pdk_model_170_corrected_H_0001_1pdk,695
relaxed_1pdk_model_171_corrected_H_0001_1pdk,486
relaxed_1pdk_model_172_corrected_H_0001_1pdk,605
relaxed_1pdk_model_173_corrected_H_0001_1pdk,302
relaxed_1pdk_model_174_corrected_H_0001_1pdk,543
relaxed_1pdk_model_175_corrected_H_0001_1pdk,361
relaxed_1pdk_model_176_corrected_H_0001_1pdk,425
relaxed_1pdk_model_177_corrected_H_0001_1pdk,375
relaxed_1pdk_model_178_corrected_H_0001_1pdk,572
relaxed_1pdk_model_179_corrected_H_0001_1pdk,469
relaxed_1pdk_model_18_corrected_H_0001_1pdk,120
relaxed_1pdk_model_180_corrected_H_0001_1pdk,515
relaxed_1pdk_model_181_corrected_H_0001_1pdk,372
relaxed_1pdk_model_182_corrected_H_0001_1pdk,390
relaxed_1pdk_model_183_corrected_H_0001_1pdk,499
relaxed_1pdk_model_184_corrected_H_0001_1pdk,548
relaxed_1pdk_model_185_corrected_H_0001_1pdk,486
relaxed_1pdk_model_186_corrected_H_0001_1pdk,470
relaxed_1pdk_model_187_corrected_H_0001_1pdk,489
relaxed_1pdk_model_188_corrected_H_0001_1pdk,375
relaxed_1pdk_model_189_corrected_H_0001_1pdk,515
relaxed_1pdk_model_19_corrected_H_0001_1pdk,249
relaxed_1pdk_model_190_corrected_H_0001_1pdk,551
relaxed_1pdk_model_191_corrected_H_0001_1pdk,454
relaxed_1pdk_model_192_corrected_H_0001_1pdk,397
relaxed_1pdk_model_193_corrected_H_0001_1pdk,569
relaxed_1pdk_model_194_corrected_H_0001_1pdk,330
relaxed_1pdk_model_195_corrected_H_0001_1pdk,536
relaxed_1pdk_model_196_corrected_H_0001_1pdk,470
relaxed_1pdk_model_197_corrected_H_0001_1pdk,528
relaxed_1pdk_model_198_corrected_H_0001_1pdk,349
relaxed_1pdk_model_199_corrected_H_0001_1pdk,350
relaxed_1pdk_model_2_corrected_H_0001_1pdk,166
relaxed_1pdk_model_20_corrected_H_0001_1pdk,410
relaxed_1pdk_model_200_corrected_H_0001_1pdk,382
relaxed_1pdk_model_201_corrected_H_0001_1pdk,589
relaxed_1pdk_model_202_corrected_H_0001_1pdk,515
relaxed_1pdk_model_203_corrected_H_0001_1pdk,404
relaxed_1pdk_model_204_corrected_H_0001_1pdk,547
relaxed_1pdk_model_205_corrected_H_0001_1pdk,511
