pdb_file,all_contacts
complex.0_0_26_corrected_H_0001_4k12,209
complex.0_0_32_corrected_H_0001_4k12,185
complex.0_0_47_corrected_H_0001_4k12,212
complex.0_10_15_corrected_H_0001_4k12,438
complex.0_10_22_corrected_H_0001_4k12,222
complex.0_10_26_corrected_H_0001_4k12,481
complex.0_10_41_corrected_H_0001_4k12,245
complex.0_10_46_corrected_H_0001_4k12,332
complex.0_11_19_corrected_H_0001_4k12,188
complex.0_11_33_corrected_H_0001_4k12,319
complex.0_11_44_corrected_H_0001_4k12,276
complex.0_11_46_corrected_H_0001_4k12,382
complex.0_12_17_corrected_H_0001_4k12,274
complex.0_12_20_corrected_H_0001_4k12,260
complex.0_12_26_corrected_H_0001_4k12,334
complex.0_12_2_corrected_H_0001_4k12,422
complex.0_12_45_corrected_H_0001_4k12,315
complex.0_12_7_corrected_H_0001_4k12,364
complex.0_13_27_corrected_H_0001_4k12,404
complex.0_13_3_corrected_H_0001_4k12,274
complex.0_13_7_corrected_H_0001_4k12,265
complex.0_14_14_corrected_H_0001_4k12,415
complex.0_14_17_corrected_H_0001_4k12,226
complex.0_14_29_corrected_H_0001_4k12,354
complex.0_14_2_corrected_H_0001_4k12,466
complex.0_14_31_corrected_H_0001_4k12,405
complex.0_14_35_corrected_H_0001_4k12,321
complex.0_14_3_corrected_H_0001_4k12,329
complex.0_14_41_corrected_H_0001_4k12,331
complex.0_14_46_corrected_H_0001_4k12,387
complex.0_14_6_corrected_H_0001_4k12,410
complex.0_15_22_corrected_H_0001_4k12,344
complex.0_15_26_corrected_H_0001_4k12,460
complex.0_15_31_corrected_H_0001_4k12,339
complex.0_15_3_corrected_H_0001_4k12,448
complex.0_15_45_corrected_H_0001_4k12,403
complex.0_15_4_corrected_H_0001_4k12,259
complex.0_16_11_corrected_H_0001_4k12,303
complex.0_16_14_corrected_H_0001_4k12,502
complex.0_16_15_corrected_H_0001_4k12,329
complex.0_16_16_corrected_H_0001_4k12,364
complex.0_16_34_corrected_H_0001_4k12,350
complex.0_16_43_corrected_H_0001_4k12,317
complex.0_16_9_corrected_H_0001_4k12,320
complex.0_17_1_corrected_H_0001_4k12,303
complex.0_17_34_corrected_H_0001_4k12,425
complex.0_17_36_corrected_H_0001_4k12,316
complex.0_17_43_corrected_H_0001_4k12,395
complex.0_17_47_corrected_H_0001_4k12,318
complex.0_17_5_corrected_H_0001_4k12,375
complex.0_17_7_corrected_H_0001_4k12,365
complex.0_17_9_corrected_H_0001_4k12,381
complex.0_18_32_corrected_H_0001_4k12,387
complex.0_18_34_corrected_H_0001_4k12,371
complex.0_18_46_corrected_H_0001_4k12,390
complex.0_1_22_corrected_H_0001_4k12,129
complex.0_1_43_corrected_H_0001_4k12,186
complex.0_2_25_corrected_H_0001_4k12,322
complex.0_2_32_corrected_H_0001_4k12,223
complex.0_3_16_corrected_H_0001_4k12,144
complex.0_3_21_corrected_H_0001_4k12,145
complex.0_3_24_corrected_H_0001_4k12,185
complex.0_3_26_corrected_H_0001_4k12,171
complex.0_3_4_corrected_H_0001_4k12,281
complex.0_3_9_corrected_H_0001_4k12,188
complex.0_4_12_corrected_H_0001_4k12,195
complex.0_4_1_corrected_H_0001_4k12,97
complex.0_4_34_corrected_H_0001_4k12,260
complex.0_4_43_corrected_H_0001_4k12,226
complex.0_4_47_corrected_H_0001_4k12,164
complex.0_5_17_corrected_H_0001_4k12,222
complex.0_5_22_corrected_H_0001_4k12,126
complex.0_5_25_corrected_H_0001_4k12,204
complex.0_5_30_corrected_H_0001_4k12,187
complex.0_5_36_corrected_H_0001_4k12,367
complex.0_5_39_corrected_H_0001_4k12,257
complex.0_6_19_corrected_H_0001_4k12,251
complex.0_6_25_corrected_H_0001_4k12,123
complex.0_6_31_corrected_H_0001_4k12,191
complex.0_6_34_corrected_H_0001_4k12,203
complex.0_6_38_corrected_H_0001_4k12,229
complex.0_6_42_corrected_H_0001_4k12,214
complex.0_6_9_corrected_H_0001_4k12,175
complex.0_7_13_corrected_H_0001_4k12,124
complex.0_7_21_corrected_H_0001_4k12,217
complex.0_7_23_corrected_H_0001_4k12,148
complex.0_7_39_corrected_H_0001_4k12,254
complex.0_7_40_corrected_H_0001_4k12,240
complex.0_7_46_corrected_H_0001_4k12,231
complex.0_7_47_corrected_H_0001_4k12,152
complex.0_8_0_corrected_H_0001_4k12,266
complex.0_8_19_corrected_H_0001_4k12,186
complex.0_8_21_corrected_H_0001_4k12,232
complex.0_9_13_corrected_H_0001_4k12,206
complex.0_9_19_corrected_H_0001_4k12,228
complex.0_9_23_corrected_H_0001_4k12,222
complex.0_9_30_corrected_H_0001_4k12,485
complex.0_9_33_corrected_H_0001_4k12,329
complex.0_9_40_corrected_H_0001_4k12,362
complex.1_0_22_corrected_H_0001_4k12,180
complex.1_0_41_corrected_H_0001_4k12,189
complex.1_0_6_corrected_H_0001_4k12,201
complex.1_10_16_corrected_H_0001_4k12,206
complex.1_10_18_corrected_H_0001_4k12,353
complex.1_10_38_corrected_H_0001_4k12,217
complex.1_10_40_corrected_H_0001_4k12,362
complex.1_10_42_corrected_H_0001_4k12,208
complex.1_11_17_corrected_H_0001_4k12,158
complex.1_11_22_corrected_H_0001_4k12,411
complex.1_11_25_corrected_H_0001_4k12,171
complex.1_11_45_corrected_H_0001_4k12,244
complex.1_12_13_corrected_H_0001_4k12,347
complex.1_12_15_corrected_H_0001_4k12,255
complex.1_12_21_corrected_H_0001_4k12,202
complex.1_12_30_corrected_H_0001_4k12,280
complex.1_12_31_corrected_H_0001_4k12,284
complex.1_12_32_corrected_H_0001_4k12,390
complex.1_12_34_corrected_H_0001_4k12,277
complex.1_12_43_corrected_H_0001_4k12,392
complex.1_12_8_corrected_H_0001_4k12,328
complex.1_13_0_corrected_H_0001_4k12,332
complex.1_13_23_corrected_H_0001_4k12,387
complex.1_13_33_corrected_H_0001_4k12,387
complex.1_13_44_corrected_H_0001_4k12,412
complex.1_13_45_corrected_H_0001_4k12,222
complex.1_13_48_corrected_H_0001_4k12,400
complex.1_13_4_corrected_H_0001_4k12,414
complex.1_13_9_corrected_H_0001_4k12,311
complex.1_14_19_corrected_H_0001_4k12,269
complex.1_14_23_corrected_H_0001_4k12,425
complex.1_14_24_corrected_H_0001_4k12,403
complex.1_14_26_corrected_H_0001_4k12,208
complex.1_14_28_corrected_H_0001_4k12,403
complex.1_14_36_corrected_H_0001_4k12,327
complex.1_14_47_corrected_H_0001_4k12,385
complex.1_15_25_corrected_H_0001_4k12,314
complex.1_15_44_corrected_H_0001_4k12,400
complex.1_15_5_corrected_H_0001_4k12,480
complex.1_15_9_corrected_H_0001_4k12,308
complex.1_16_21_corrected_H_0001_4k12,465
complex.1_17_14_corrected_H_0001_4k12,381
complex.1_17_24_corrected_H_0001_4k12,308
complex.1_17_25_corrected_H_0001_4k12,317
complex.1_17_26_corrected_H_0001_4k12,382
complex.1_17_38_corrected_H_0001_4k12,414
complex.1_17_40_corrected_H_0001_4k12,476
complex.1_17_41_corrected_H_0001_4k12,421
complex.1_18_18_corrected_H_0001_4k12,381
complex.1_18_21_corrected_H_0001_4k12,339
complex.1_18_28_corrected_H_0001_4k12,325
complex.1_18_41_corrected_H_0001_4k12,366
complex.1_18_43_corrected_H_0001_4k12,335
complex.1_1_19_corrected_H_0001_4k12,196
complex.1_1_25_corrected_H_0001_4k12,127
complex.1_1_31_corrected_H_0001_4k12,246
complex.1_1_37_corrected_H_0001_4k12,228
complex.1_1_5_corrected_H_0001_4k12,221
complex.1_2_10_corrected_H_0001_4k12,142
complex.1_2_19_corrected_H_0001_4k12,173
complex.1_2_1_corrected_H_0001_4k12,133
complex.1_2_23_corrected_H_0001_4k12,206
complex.1_2_28_corrected_H_0001_4k12,213
complex.1_2_35_corrected_H_0001_4k12,238
complex.1_3_11_corrected_H_0001_4k12,250
complex.1_3_18_corrected_H_0001_4k12,163
complex.1_3_33_corrected_H_0001_4k12,170
complex.1_3_35_corrected_H_0001_4k12,370
complex.1_3_36_corrected_H_0001_4k12,240
complex.1_3_40_corrected_H_0001_4k12,219
complex.1_3_44_corrected_H_0001_4k12,226
complex.1_4_16_corrected_H_0001_4k12,190
complex.1_4_17_corrected_H_0001_4k12,234
complex.1_4_36_corrected_H_0001_4k12,244
complex.1_4_37_corrected_H_0001_4k12,345
complex.1_5_16_corrected_H_0001_4k12,183
complex.1_5_1_corrected_H_0001_4k12,189
complex.1_5_24_corrected_H_0001_4k12,230
complex.1_5_2_corrected_H_0001_4k12,166
complex.1_5_40_corrected_H_0001_4k12,166
complex.1_5_44_corrected_H_0001_4k12,237
complex.1_6_10_corrected_H_0001_4k12,210
complex.1_6_1_corrected_H_0001_4k12,184
complex.1_6_4_corrected_H_0001_4k12,208
complex.1_6_5_corrected_H_0001_4k12,208
complex.1_7_0_corrected_H_0001_4k12,178
complex.1_7_12_corrected_H_0001_4k12,184
complex.1_7_22_corrected_H_0001_4k12,248
complex.1_7_28_corrected_H_0001_4k12,232
complex.1_7_35_corrected_H_0001_4k12,231
complex.1_7_43_corrected_H_0001_4k12,175
complex.1_7_5_corrected_H_0001_4k12,224
complex.1_7_9_corrected_H_0001_4k12,397
complex.1_8_10_corrected_H_0001_4k12,171
complex.1_8_11_corrected_H_0001_4k12,184
complex.1_8_23_corrected_H_0001_4k12,228
complex.1_8_31_corrected_H_0001_4k12,261
complex.1_8_42_corrected_H_0001_4k12,226
complex.1_8_45_corrected_H_0001_4k12,148
complex.1_8_5_corrected_H_0001_4k12,348
complex.1_9_14_corrected_H_0001_4k12,229
complex.1_9_17_corrected_H_0001_4k12,248
complex.1_9_1_corrected_H_0001_4k12,276
complex.1_9_34_corrected_H_0001_4k12,326
complex.1_9_38_corrected_H_0001_4k12,314
complex.1_9_39_corrected_H_0001_4k12,273
complex.1_9_47_corrected_H_0001_4k12,313
complex.1_9_48_corrected_H_0001_4k12,243
complex.1_9_5_corrected_H_0001_4k12,177
complex.2_0_24_corrected_H_0001_4k12,187
complex.2_0_27_corrected_H_0001_4k12,169
complex.2_0_44_corrected_H_0001_4k12,202
complex.2_10_31_corrected_H_0001_4k12,209
complex.2_10_3_corrected_H_0001_4k12,267
complex.2_11_13_corrected_H_0001_4k12,275
complex.2_11_6_corrected_H_0001_4k12,225
complex.2_12_16_corrected_H_0001_4k12,412
complex.2_12_27_corrected_H_0001_4k12,156
complex.2_12_28_corrected_H_0001_4k12,286
complex.2_12_48_corrected_H_0001_4k12,403
complex.2_12_4_corrected_H_0001_4k12,361
complex.2_13_13_corrected_H_0001_4k12,466
complex.2_13_1_corrected_H_0001_4k12,369
complex.2_13_26_corrected_H_0001_4k12,303
complex.2_13_30_corrected_H_0001_4k12,331
complex.2_14_10_corrected_H_0001_4k12,402
complex.2_14_12_corrected_H_0001_4k12,272
complex.2_14_21_corrected_H_0001_4k12,439
complex.2_14_40_corrected_H_0001_4k12,295
complex.2_14_4_corrected_H_0001_4k12,436
complex.2_14_5_corrected_H_0001_4k12,423
complex.2_15_0_corrected_H_0001_4k12,286
complex.2_15_1_corrected_H_0001_4k12,377
complex.2_15_29_corrected_H_0001_4k12,367
complex.2_15_34_corrected_H_0001_4k12,391
complex.2_15_7_corrected_H_0001_4k12,398
complex.2_16_22_corrected_H_0001_4k12,354
complex.2_16_23_corrected_H_0001_4k12,379
complex.2_16_29_corrected_H_0001_4k12,352
complex.2_16_35_corrected_H_0001_4k12,338
complex.2_16_44_corrected_H_0001_4k12,459
complex.2_17_16_corrected_H_0001_4k12,312
complex.2_17_29_corrected_H_0001_4k12,324
complex.2_17_35_corrected_H_0001_4k12,297
complex.2_17_3_corrected_H_0001_4k12,346
complex.2_17_42_corrected_H_0001_4k12,346
complex.2_18_0_corrected_H_0001_4k12,389
complex.2_18_13_corrected_H_0001_4k12,352
complex.2_18_23_corrected_H_0001_4k12,278
complex.2_18_3_corrected_H_0001_4k12,338
complex.2_18_47_corrected_H_0001_4k12,325
complex.2_18_5_corrected_H_0001_4k12,416
complex.2_1_28_corrected_H_0001_4k12,102
complex.2_1_2_corrected_H_0001_4k12,344
