pdb_file,all_contacts
complex.0_0_29_corrected_H_0001_1ay7,256
complex.0_0_2_corrected_H_0001_1ay7,221
complex.0_0_32_corrected_H_0001_1ay7,195
complex.0_0_35_corrected_H_0001_1ay7,260
complex.0_0_36_corrected_H_0001_1ay7,138
complex.0_0_3_corrected_H_0001_1ay7,150
complex.0_0_45_corrected_H_0001_1ay7,192
complex.0_0_4_corrected_H_0001_1ay7,170
complex.0_10_31_corrected_H_0001_1ay7,336
complex.0_10_41_corrected_H_0001_1ay7,316
complex.0_10_42_corrected_H_0001_1ay7,535
complex.0_10_5_corrected_H_0001_1ay7,310
complex.0_11_22_corrected_H_0001_1ay7,290
complex.0_11_27_corrected_H_0001_1ay7,304
complex.0_11_33_corrected_H_0001_1ay7,320
complex.0_11_46_corrected_H_0001_1ay7,294
complex.0_11_6_corrected_H_0001_1ay7,434
complex.0_12_1_corrected_H_0001_1ay7,392
complex.0_12_39_corrected_H_0001_1ay7,417
complex.0_12_4_corrected_H_0001_1ay7,380
complex.0_12_6_corrected_H_0001_1ay7,578
complex.0_13_13_corrected_H_0001_1ay7,330
complex.0_13_21_corrected_H_0001_1ay7,354
complex.0_13_24_corrected_H_0001_1ay7,332
complex.0_13_27_corrected_H_0001_1ay7,380
complex.0_13_29_corrected_H_0001_1ay7,350
complex.0_13_37_corrected_H_0001_1ay7,471
complex.0_13_41_corrected_H_0001_1ay7,324
complex.0_13_46_corrected_H_0001_1ay7,233
complex.0_13_48_corrected_H_0001_1ay7,329
complex.0_14_23_corrected_H_0001_1ay7,495
complex.0_14_25_corrected_H_0001_1ay7,412
complex.0_14_30_corrected_H_0001_1ay7,340
complex.0_15_20_corrected_H_0001_1ay7,343
complex.0_15_25_corrected_H_0001_1ay7,346
complex.0_15_31_corrected_H_0001_1ay7,467
complex.0_15_40_corrected_H_0001_1ay7,339
complex.0_15_6_corrected_H_0001_1ay7,382
complex.0_15_9_corrected_H_0001_1ay7,472
complex.0_16_12_corrected_H_0001_1ay7,460
complex.0_16_17_corrected_H_0001_1ay7,445
complex.0_16_31_corrected_H_0001_1ay7,305
complex.0_16_34_corrected_H_0001_1ay7,490
