pdb_file,bsa
complex.0_0_36_corrected_H_0001,1062.1551360672802
complex.0_0_42_corrected_H_0001,1198.036741905311
complex.0_0_47_corrected_H_0001,1582.4140522059242
complex.0_10_11_corrected_H_0001,1516.7204764350354
complex.0_10_12_corrected_H_0001,1225.2686379693077
complex.0_10_2_corrected_H_0001,1513.2584280516548
complex.0_10_34_corrected_H_0001,1714.3404947490326
complex.0_10_36_corrected_H_0001,1440.3487800907296
complex.0_10_45_corrected_H_0001,1451.6479746200293
complex.0_11_13_corrected_H_0001,1660.46169956431
complex.0_11_18_corrected_H_0001,1435.7208072018184
complex.0_11_24_corrected_H_0001,1534.1825909545078
complex.0_11_42_corrected_H_0001,1659.343791891566
complex.0_12_18_corrected_H_0001,1316.0322856021958
complex.0_12_40_corrected_H_0001,1455.2158171536503
complex.0_12_43_corrected_H_0001,1577.8866713835396
complex.0_12_48_corrected_H_0001,1591.3790495587837
complex.0_13_12_corrected_H_0001,1635.5668958728074
complex.0_13_21_corrected_H_0001,1409.2149061584005
complex.0_13_2_corrected_H_0001,1587.203779250567
complex.0_13_42_corrected_H_0001,1706.4629254829124
complex.0_13_43_corrected_H_0001,1719.8302850707769
complex.0_14_19_corrected_H_0001,1475.6805448967662
complex.0_14_28_corrected_H_0001,1483.0126052095493
complex.0_14_31_corrected_H_0001,1538.0830051674438
complex.0_14_37_corrected_H_0001,1564.6694946692332
complex.0_15_15_corrected_H_0001,1720.0652070531469
complex.0_15_23_corrected_H_0001,1588.2429771130446
complex.0_15_2_corrected_H_0001,1644.7016430192198
complex.0_15_46_corrected_H_0001,1445.5097491482938
complex.0_15_49_corrected_H_0001,1786.5348356191425
complex.0_15_5_corrected_H_0001,1434.1164292094636
complex.0_15_9_corrected_H_0001,1568.9754083728094
complex.0_16_0_corrected_H_0001,1540.0475766196978
complex.0_16_15_corrected_H_0001,1598.7350976305806
complex.0_16_28_corrected_H_0001,1590.253228459198
complex.0_16_2_corrected_H_0001,1561.3178431558044
complex.0_16_4_corrected_H_0001,1571.8224822681823
complex.0_17_14_corrected_H_0001,1545.8122183931664
complex.0_17_18_corrected_H_0001,1532.048226914154
complex.0_17_2_corrected_H_0001,1705.1504464951267
complex.0_17_39_corrected_H_0001,1451.2096212506694
complex.0_17_41_corrected_H_0001,1563.4815393092667
complex.0_18_10_corrected_H_0001,1773.3145749103314
complex.0_18_13_corrected_H_0001,1610.571985757293
complex.0_18_31_corrected_H_0001,1753.8703660103056
complex.0_18_33_corrected_H_0001,1527.0207503372549
complex.0_18_47_corrected_H_0001,1698.2113768075105
complex.0_19_1_corrected_H_0001,1513.3726440059854
complex.0_1_26_corrected_H_0001,1764.9933121608774
complex.0_1_34_corrected_H_0001,1553.92406669328
complex.0_1_44_corrected_H_0001,1439.9186329875247
complex.0_2_0_corrected_H_0001,957.0837408292628
complex.0_2_28_corrected_H_0001,1268.0551340870788
complex.0_2_2_corrected_H_0001,1698.1125442216107
complex.0_2_39_corrected_H_0001,2144.0630687726916
complex.0_2_40_corrected_H_0001,1417.034605776962
complex.0_2_46_corrected_H_0001,1153.950003038728
complex.0_3_10_corrected_H_0001,1139.07241511141
complex.0_3_20_corrected_H_0001,973.1954296753411
complex.0_3_30_corrected_H_0001,1088.5553853310812
complex.0_4_11_corrected_H_0001,1477.422639179007
complex.0_4_16_corrected_H_0001,1471.118870555807
complex.0_4_26_corrected_H_0001,1447.1391548579613
complex.0_4_31_corrected_H_0001,1142.1300510739075
complex.0_4_34_corrected_H_0001,1392.551904196851
complex.0_4_45_corrected_H_0001,1210.0183271248097
complex.0_4_9_corrected_H_0001,1626.7253335929472
complex.0_5_30_corrected_H_0001,1633.4861799368355
complex.0_5_33_corrected_H_0001,1361.7119138921244
complex.0_6_1_corrected_H_0001,1452.982313384391
complex.0_6_20_corrected_H_0001,974.6742882117687
complex.0_6_26_corrected_H_0001,1545.383451700378
complex.0_6_37_corrected_H_0001,1506.4936077092498
complex.0_6_40_corrected_H_0001,1514.3286086529097
complex.0_6_4_corrected_H_0001,1238.763118792409
complex.0_7_1_corrected_H_0001,992.3161357278386
complex.0_7_23_corrected_H_0001,1257.646421885358
complex.0_7_28_corrected_H_0001,1208.563513701527
complex.0_7_30_corrected_H_0001,1351.1494029847127
complex.0_7_39_corrected_H_0001,1571.7957461253536
complex.0_7_3_corrected_H_0001,1545.848456411466
complex.0_7_46_corrected_H_0001,2022.3380349745603
complex.0_8_11_corrected_H_0001,1372.1172556604924
complex.0_8_28_corrected_H_0001,1588.4201236181343
complex.0_8_34_corrected_H_0001,1651.9451217817405
complex.0_8_38_corrected_H_0001,1322.3202052846354
complex.0_9_22_corrected_H_0001,1708.995831897344
complex.0_9_36_corrected_H_0001,1106.2792513485201
complex.0_9_37_corrected_H_0001,1447.1836092296307
complex.0_9_43_corrected_H_0001,1499.286170734411
complex.0_9_46_corrected_H_0001,1539.8432142506026
complex.0_9_8_corrected_H_0001,1828.6172239502048
complex.1_0_0_corrected_H_0001,1098.6441304563596
complex.1_0_15_corrected_H_0001,1001.3423160396196
complex.1_0_20_corrected_H_0001,1504.3304561685509
complex.1_0_43_corrected_H_0001,849.9849345799394
complex.1_10_20_corrected_H_0001,1581.9319610289022
complex.1_10_43_corrected_H_0001,1632.6985419669254
complex.1_10_5_corrected_H_0001,1594.3765817223375
complex.1_11_11_corrected_H_0001,1630.9065160117807
complex.1_11_25_corrected_H_0001,1867.377775853538
complex.1_11_26_corrected_H_0001,1802.407446649595
complex.1_11_29_corrected_H_0001,1645.4594895518512
complex.1_11_49_corrected_H_0001,1357.5053841380595
complex.1_11_5_corrected_H_0001,1212.5964107824875
complex.1_12_0_corrected_H_0001,1818.0957495674102
complex.1_12_25_corrected_H_0001,1521.5970003816765
complex.1_12_31_corrected_H_0001,1657.031763347837
complex.1_12_37_corrected_H_0001,1435.3254159783774
complex.1_12_44_corrected_H_0001,1734.1718037449336
complex.1_12_4_corrected_H_0001,1637.7367803105462
complex.1_12_5_corrected_H_0001,1524.8555261637703
complex.1_13_0_corrected_H_0001,1430.338610853245
complex.1_13_34_corrected_H_0001,1532.1142348950962
complex.1_13_44_corrected_H_0001,1410.8347500336477
complex.1_13_48_corrected_H_0001,1468.1191719300386
complex.1_13_9_corrected_H_0001,1377.8530480422723
complex.1_14_25_corrected_H_0001,1291.0463883683988
complex.1_14_29_corrected_H_0001,1573.9548840774514
complex.1_14_41_corrected_H_0001,1437.0354915031694
complex.1_15_30_corrected_H_0001,1543.9213401469806
complex.1_15_31_corrected_H_0001,1484.6331571859882
complex.1_15_43_corrected_H_0001,1504.4674507037344
complex.1_15_47_corrected_H_0001,1610.6943447997965
complex.1_16_17_corrected_H_0001,1631.9460731229901
complex.1_16_26_corrected_H_0001,1613.5376934660799
complex.1_16_38_corrected_H_0001,1525.689850547662
complex.1_16_39_corrected_H_0001,1852.7332404462268
complex.1_16_49_corrected_H_0001,1570.2230225017775
complex.1_17_19_corrected_H_0001,1514.8159624215132
complex.1_17_26_corrected_H_0001,1632.9014506480253
complex.1_17_28_corrected_H_0001,1505.8816471004575
complex.1_17_45_corrected_H_0001,1683.1916091270177
complex.1_18_11_corrected_H_0001,1801.3823913726155
complex.1_18_20_corrected_H_0001,1519.7300617272886
complex.1_18_26_corrected_H_0001,1558.4524287630156
complex.1_18_34_corrected_H_0001,1641.042120620683
complex.1_18_7_corrected_H_0001,1617.2185249560498
complex.1_18_8_corrected_H_0001,1590.702952792737
complex.1_1_13_corrected_H_0001,1267.636157863426
complex.1_1_16_corrected_H_0001,1458.4962033766078
complex.1_1_24_corrected_H_0001,1738.9329448578937
complex.1_1_31_corrected_H_0001,625.0576444552062
complex.1_1_36_corrected_H_0001,1112.6331546059173
complex.1_1_37_corrected_H_0001,1518.1890014838336
complex.1_1_46_corrected_H_0001,1345.445749799872
complex.1_1_48_corrected_H_0001,1340.9052850808494
complex.1_1_4_corrected_H_0001,1343.9348653728266
complex.1_2_12_corrected_H_0001,1282.5329418433848
complex.1_2_29_corrected_H_0001,1124.5505061216772
complex.1_2_32_corrected_H_0001,1346.2292929614432
complex.1_2_33_corrected_H_0001,1425.46678719609
complex.1_2_34_corrected_H_0001,1775.0454538696777
