pdb_file,all_contacts
complex.0_0_8_corrected_H_0001_5maw,356
complex.0_10_17_corrected_H_0001_5maw,883
complex.0_10_22_corrected_H_0001_5maw,859
complex.0_10_42_corrected_H_0001_5maw,809
complex.0_10_46_corrected_H_0001_5maw,1012
complex.0_10_5_corrected_H_0001_5maw,934
complex.0_11_10_corrected_H_0001_5maw,1107
complex.0_11_34_corrected_H_0001_5maw,1006
complex.0_11_38_corrected_H_0001_5maw,1033
complex.0_11_39_corrected_H_0001_5maw,935
complex.0_11_43_corrected_H_0001_5maw,1139
complex.0_11_4_corrected_H_0001_5maw,800
complex.0_12_12_corrected_H_0001_5maw,911
complex.0_12_20_corrected_H_0001_5maw,1027
complex.0_12_26_corrected_H_0001_5maw,958
complex.0_12_29_corrected_H_0001_5maw,1097
complex.0_12_30_corrected_H_0001_5maw,964
complex.0_12_31_corrected_H_0001_5maw,1116
complex.0_12_41_corrected_H_0001_5maw,1133
complex.0_12_7_corrected_H_0001_5maw,1193
complex.0_13_25_corrected_H_0001_5maw,1230
complex.0_13_27_corrected_H_0001_5maw,1085
complex.0_13_29_corrected_H_0001_5maw,1154
complex.0_14_14_corrected_H_0001_5maw,1292
complex.0_14_17_corrected_H_0001_5maw,1199
complex.0_14_23_corrected_H_0001_5maw,1072
complex.0_15_10_corrected_H_0001_5maw,1277
complex.0_15_15_corrected_H_0001_5maw,1256
complex.0_15_22_corrected_H_0001_5maw,1278
complex.0_15_28_corrected_H_0001_5maw,1179
complex.0_15_38_corrected_H_0001_5maw,1219
complex.0_15_6_corrected_H_0001_5maw,1331
complex.0_16_3_corrected_H_0001_5maw,1252
complex.0_17_18_corrected_H_0001_5maw,1232
complex.0_17_20_corrected_H_0001_5maw,1244
complex.0_17_23_corrected_H_0001_5maw,1348
complex.0_17_28_corrected_H_0001_5maw,1420
complex.0_17_34_corrected_H_0001_5maw,1283
complex.0_17_36_corrected_H_0001_5maw,1398
complex.0_18_3_corrected_H_0001_5maw,1349
complex.0_18_4_corrected_H_0001_5maw,1214
complex.0_1_45_corrected_H_0001_5maw,484
complex.0_1_5_corrected_H_0001_5maw,567
complex.0_1_7_corrected_H_0001_5maw,363
complex.0_2_19_corrected_H_0001_5maw,584
complex.0_2_21_corrected_H_0001_5maw,487
complex.0_2_2_corrected_H_0001_5maw,528
complex.0_2_34_corrected_H_0001_5maw,383
complex.0_2_41_corrected_H_0001_5maw,305
complex.0_2_45_corrected_H_0001_5maw,481
complex.0_3_38_corrected_H_0001_5maw,498
complex.0_3_39_corrected_H_0001_5maw,484
complex.0_3_49_corrected_H_0001_5maw,604
complex.0_4_12_corrected_H_0001_5maw,789
complex.0_4_31_corrected_H_0001_5maw,782
complex.0_4_32_corrected_H_0001_5maw,825
complex.0_4_33_corrected_H_0001_5maw,610
complex.0_4_42_corrected_H_0001_5maw,592
complex.0_4_48_corrected_H_0001_5maw,771
complex.0_4_4_corrected_H_0001_5maw,507
complex.0_4_8_corrected_H_0001_5maw,712
complex.0_5_12_corrected_H_0001_5maw,806
complex.0_5_20_corrected_H_0001_5maw,678
complex.0_5_32_corrected_H_0001_5maw,808
complex.0_5_42_corrected_H_0001_5maw,786
complex.0_5_8_corrected_H_0001_5maw,695
complex.0_6_11_corrected_H_0001_5maw,739
complex.0_6_1_corrected_H_0001_5maw,765
complex.0_6_20_corrected_H_0001_5maw,896
complex.0_6_22_corrected_H_0001_5maw,892
complex.0_6_26_corrected_H_0001_5maw,764
complex.0_6_31_corrected_H_0001_5maw,847
complex.0_6_8_corrected_H_0001_5maw,699
complex.0_7_37_corrected_H_0001_5maw,853
complex.0_8_11_corrected_H_0001_5maw,913
complex.0_8_22_corrected_H_0001_5maw,847
complex.0_8_34_corrected_H_0001_5maw,956
complex.0_8_4_corrected_H_0001_5maw,994
complex.0_8_7_corrected_H_0001_5maw,659
complex.0_9_15_corrected_H_0001_5maw,979
complex.0_9_19_corrected_H_0001_5maw,844
complex.0_9_20_corrected_H_0001_5maw,910
complex.0_9_28_corrected_H_0001_5maw,1030
complex.0_9_2_corrected_H_0001_5maw,921
complex.0_9_31_corrected_H_0001_5maw,957
complex.1_0_14_corrected_H_0001_5maw,299
complex.1_0_29_corrected_H_0001_5maw,273
complex.1_0_34_corrected_H_0001_5maw,432
complex.1_0_39_corrected_H_0001_5maw,403
complex.1_0_42_corrected_H_0001_5maw,195
complex.1_0_45_corrected_H_0001_5maw,258
complex.1_0_47_corrected_H_0001_5maw,276
complex.1_0_7_corrected_H_0001_5maw,464
complex.1_10_1_corrected_H_0001_5maw,945
complex.1_10_2_corrected_H_0001_5maw,909
complex.1_10_43_corrected_H_0001_5maw,852
complex.1_10_49_corrected_H_0001_5maw,953
complex.1_11_13_corrected_H_0001_5maw,1016
complex.1_11_19_corrected_H_0001_5maw,1046
complex.1_11_45_corrected_H_0001_5maw,1124
complex.1_12_13_corrected_H_0001_5maw,1232
complex.1_12_34_corrected_H_0001_5maw,1042
complex.1_12_36_corrected_H_0001_5maw,1070
complex.1_12_46_corrected_H_0001_5maw,1130
complex.1_12_47_corrected_H_0001_5maw,1247
complex.1_12_49_corrected_H_0001_5maw,889
complex.1_12_9_corrected_H_0001_5maw,1068
complex.1_13_12_corrected_H_0001_5maw,971
complex.1_13_5_corrected_H_0001_5maw,1145
complex.1_13_7_corrected_H_0001_5maw,1144
complex.1_14_18_corrected_H_0001_5maw,1232
complex.1_14_1_corrected_H_0001_5maw,1024
complex.1_14_37_corrected_H_0001_5maw,1295
complex.1_14_4_corrected_H_0001_5maw,1163
complex.1_14_6_corrected_H_0001_5maw,1292
complex.1_15_12_corrected_H_0001_5maw,1236
complex.1_15_27_corrected_H_0001_5maw,1251
complex.1_15_44_corrected_H_0001_5maw,1234
complex.1_15_46_corrected_H_0001_5maw,1291
