pdb_file,hydrophobicity_contacts
complex.0_0_17_corrected_H_0001_7jxv,16
complex.0_0_18_corrected_H_0001_7jxv,12
complex.0_0_1_corrected_H_0001_7jxv,17
complex.0_0_42_corrected_H_0001_7jxv,14
complex.0_0_8_corrected_H_0001_7jxv,10
complex.0_10_11_corrected_H_0001_7jxv,24
complex.0_10_15_corrected_H_0001_7jxv,19
complex.0_10_23_corrected_H_0001_7jxv,25
complex.0_10_33_corrected_H_0001_7jxv,18
complex.0_10_38_corrected_H_0001_7jxv,21
complex.0_11_19_corrected_H_0001_7jxv,21
complex.0_11_33_corrected_H_0001_7jxv,22
complex.0_11_39_corrected_H_0001_7jxv,11
complex.0_11_3_corrected_H_0001_7jxv,23
complex.0_12_11_corrected_H_0001_7jxv,21
complex.0_12_20_corrected_H_0001_7jxv,20
complex.0_12_21_corrected_H_0001_7jxv,22
complex.0_12_22_corrected_H_0001_7jxv,17
complex.0_12_39_corrected_H_0001_7jxv,20
complex.0_12_3_corrected_H_0001_7jxv,25
complex.0_13_11_corrected_H_0001_7jxv,23
complex.0_13_12_corrected_H_0001_7jxv,17
complex.0_13_27_corrected_H_0001_7jxv,23
complex.0_13_38_corrected_H_0001_7jxv,16
complex.0_14_47_corrected_H_0001_7jxv,20
complex.0_14_49_corrected_H_0001_7jxv,20
complex.0_14_8_corrected_H_0001_7jxv,27
complex.0_15_16_corrected_H_0001_7jxv,20
complex.0_15_38_corrected_H_0001_7jxv,22
complex.0_15_42_corrected_H_0001_7jxv,21
complex.0_15_49_corrected_H_0001_7jxv,17
complex.0_15_7_corrected_H_0001_7jxv,24
complex.0_16_19_corrected_H_0001_7jxv,24
complex.0_16_2_corrected_H_0001_7jxv,25
complex.0_16_36_corrected_H_0001_7jxv,22
complex.0_16_40_corrected_H_0001_7jxv,22
complex.0_16_43_corrected_H_0001_7jxv,24
complex.0_16_6_corrected_H_0001_7jxv,26
complex.0_17_21_corrected_H_0001_7jxv,25
complex.0_17_36_corrected_H_0001_7jxv,24
complex.0_17_49_corrected_H_0001_7jxv,25
complex.0_17_5_corrected_H_0001_7jxv,22
complex.0_18_10_corrected_H_0001_7jxv,26
complex.0_18_13_corrected_H_0001_7jxv,24
complex.0_18_25_corrected_H_0001_7jxv,25
complex.0_18_34_corrected_H_0001_7jxv,24
complex.0_18_45_corrected_H_0001_7jxv,24
complex.0_18_49_corrected_H_0001_7jxv,25
complex.0_19_1_corrected_H_0001_7jxv,24
complex.0_19_4_corrected_H_0001_7jxv,24
complex.0_1_12_corrected_H_0001_7jxv,9
complex.0_1_24_corrected_H_0001_7jxv,14
complex.0_1_2_corrected_H_0001_7jxv,17
complex.0_1_36_corrected_H_0001_7jxv,6
complex.0_2_27_corrected_H_0001_7jxv,14
complex.0_2_29_corrected_H_0001_7jxv,15
complex.0_2_30_corrected_H_0001_7jxv,17
complex.0_2_44_corrected_H_0001_7jxv,14
