pdb_file,hydrophobicity_contacts
complex.0_0_10_corrected_H_0001_6kp3,14
complex.0_0_1_corrected_H_0001_6kp3,9
complex.0_0_27_corrected_H_0001_6kp3,15
complex.0_0_29_corrected_H_0001_6kp3,13
complex.0_0_8_corrected_H_0001_6kp3,7
complex.0_10_32_corrected_H_0001_6kp3,17
complex.0_10_34_corrected_H_0001_6kp3,16
complex.0_10_44_corrected_H_0001_6kp3,16
complex.0_10_7_corrected_H_0001_6kp3,17
complex.0_10_8_corrected_H_0001_6kp3,14
complex.0_11_0_corrected_H_0001_6kp3,19
complex.0_11_11_corrected_H_0001_6kp3,22
complex.0_11_21_corrected_H_0001_6kp3,17
complex.0_11_23_corrected_H_0001_6kp3,18
complex.0_11_28_corrected_H_0001_6kp3,23
complex.0_11_7_corrected_H_0001_6kp3,16
complex.0_12_0_corrected_H_0001_6kp3,18
complex.0_12_10_corrected_H_0001_6kp3,17
complex.0_12_32_corrected_H_0001_6kp3,21
complex.0_12_3_corrected_H_0001_6kp3,22
complex.0_12_5_corrected_H_0001_6kp3,22
complex.0_12_7_corrected_H_0001_6kp3,19
complex.0_13_0_corrected_H_0001_6kp3,19
complex.0_13_12_corrected_H_0001_6kp3,23
complex.0_13_41_corrected_H_0001_6kp3,19
complex.0_13_43_corrected_H_0001_6kp3,20
complex.0_13_46_corrected_H_0001_6kp3,23
complex.0_14_15_corrected_H_0001_6kp3,21
complex.0_14_17_corrected_H_0001_6kp3,20
complex.0_14_28_corrected_H_0001_6kp3,15
complex.0_14_29_corrected_H_0001_6kp3,18
complex.0_14_42_corrected_H_0001_6kp3,24
complex.0_14_45_corrected_H_0001_6kp3,20
complex.0_14_6_corrected_H_0001_6kp3,16
complex.0_15_28_corrected_H_0001_6kp3,11
complex.0_15_29_corrected_H_0001_6kp3,17
complex.0_15_37_corrected_H_0001_6kp3,18
complex.0_15_4_corrected_H_0001_6kp3,20
complex.0_16_25_corrected_H_0001_6kp3,21
complex.0_16_27_corrected_H_0001_6kp3,17
complex.0_16_33_corrected_H_0001_6kp3,18
complex.0_16_39_corrected_H_0001_6kp3,16
complex.0_16_48_corrected_H_0001_6kp3,19
complex.0_17_16_corrected_H_0001_6kp3,20
complex.0_17_18_corrected_H_0001_6kp3,17
complex.0_17_23_corrected_H_0001_6kp3,16
complex.0_17_2_corrected_H_0001_6kp3,18
complex.0_17_38_corrected_H_0001_6kp3,14
complex.0_17_42_corrected_H_0001_6kp3,15
complex.0_18_21_corrected_H_0001_6kp3,19
complex.0_1_1_corrected_H_0001_6kp3,21
complex.0_1_41_corrected_H_0001_6kp3,22
complex.0_2_17_corrected_H_0001_6kp3,18
complex.0_2_1_corrected_H_0001_6kp3,18
complex.0_2_27_corrected_H_0001_6kp3,16
complex.0_2_32_corrected_H_0001_6kp3,35
complex.0_2_39_corrected_H_0001_6kp3,27
complex.0_2_48_corrected_H_0001_6kp3,23
complex.0_3_16_corrected_H_0001_6kp3,13
complex.0_3_17_corrected_H_0001_6kp3,18
complex.0_3_18_corrected_H_0001_6kp3,21
complex.0_3_1_corrected_H_0001_6kp3,18
complex.0_3_22_corrected_H_0001_6kp3,15
complex.0_3_2_corrected_H_0001_6kp3,24
complex.0_3_43_corrected_H_0001_6kp3,17
complex.0_3_5_corrected_H_0001_6kp3,18
complex.0_4_0_corrected_H_0001_6kp3,26
complex.0_4_22_corrected_H_0001_6kp3,17
complex.0_4_23_corrected_H_0001_6kp3,20
complex.0_4_24_corrected_H_0001_6kp3,15
complex.0_4_28_corrected_H_0001_6kp3,20
complex.0_4_39_corrected_H_0001_6kp3,19
complex.0_4_42_corrected_H_0001_6kp3,17
complex.0_4_45_corrected_H_0001_6kp3,12
complex.0_5_20_corrected_H_0001_6kp3,16
complex.0_5_36_corrected_H_0001_6kp3,17
complex.0_5_44_corrected_H_0001_6kp3,22
complex.0_5_8_corrected_H_0001_6kp3,18
complex.0_5_9_corrected_H_0001_6kp3,16
complex.0_6_14_corrected_H_0001_6kp3,13
complex.0_6_16_corrected_H_0001_6kp3,17
complex.0_6_29_corrected_H_0001_6kp3,17
complex.0_6_34_corrected_H_0001_6kp3,15
complex.0_6_39_corrected_H_0001_6kp3,20
complex.0_6_41_corrected_H_0001_6kp3,18
complex.0_6_44_corrected_H_0001_6kp3,19
complex.0_6_46_corrected_H_0001_6kp3,19
complex.0_6_48_corrected_H_0001_6kp3,18
complex.0_7_11_corrected_H_0001_6kp3,16
complex.0_7_37_corrected_H_0001_6kp3,18
complex.0_7_40_corrected_H_0001_6kp3,17
complex.0_7_43_corrected_H_0001_6kp3,22
complex.0_7_46_corrected_H_0001_6kp3,21
complex.0_8_17_corrected_H_0001_6kp3,19
complex.0_8_18_corrected_H_0001_6kp3,19
complex.0_8_20_corrected_H_0001_6kp3,20
complex.0_8_25_corrected_H_0001_6kp3,26
complex.0_8_31_corrected_H_0001_6kp3,17
complex.0_8_37_corrected_H_0001_6kp3,25
complex.0_8_40_corrected_H_0001_6kp3,17
complex.0_8_43_corrected_H_0001_6kp3,23
complex.0_8_46_corrected_H_0001_6kp3,18
complex.0_9_10_corrected_H_0001_6kp3,16
complex.0_9_11_corrected_H_0001_6kp3,16
complex.0_9_26_corrected_H_0001_6kp3,18
complex.0_9_31_corrected_H_0001_6kp3,21
complex.0_9_32_corrected_H_0001_6kp3,17
complex.0_9_35_corrected_H_0001_6kp3,19
complex.0_9_40_corrected_H_0001_6kp3,20
complex.1_0_38_corrected_H_0001_6kp3,11
complex.1_0_45_corrected_H_0001_6kp3,16
complex.1_0_48_corrected_H_0001_6kp3,5
